hit_type,company_name,company_name_cn,country,zip_code,city,federal_state,website,booth,booth_ref,profile_url,ref_no,main_scope_of_business,official_image,profile_title,profile_meta_description,profile_headings
Exhibitor,ADH XR LIMITED,極專注有限公司,,,,,https://www.questxr.ai,Stand J35,J35,https://www.aipluspower.com/exhibitor-list,1,All,wix:image://v1/00bc10_98525e27f8e1414a8bb7634d991f250f~mv2.png/AI+Power2026_Exhibitor_ADH%20XR%20LIMITED.png#originWidth=200&originHeight=100,ADH XR LIMITED,AI+ Power 2026 exhibitor. Ref 1. Booth J35. Main scope: All. Chinese name: 極專注有限公司.,
Exhibitor,AIX SOCIETY,人工智能應用研究學會,,,,,https://www.aixsociety.com,Stand H35,H35,https://www.aipluspower.com/exhibitor-list,2,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_7ad46d59d10c45d6829e7890959bc5ee~mv2.png/AI+Power2026_Exhibitor_AIX%20SOCIETY.png#originWidth=200&originHeight=100,AIX SOCIETY,"AI+ Power 2026 exhibitor. Ref 2. Booth H35. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors. Chinese name: 人工智能應用研究學會.",
Exhibitor,AKMII INFORMATION LIMITED,知普信息科技有限公司,,,,,https://www.yeeflow.com,Stand J32,J32,https://www.aipluspower.com/exhibitor-list,3,All,wix:image://v1/00bc10_ba50eae347004ef1802493f6cb600916~mv2.png/AI+Power2026_Exhibitor_AKMII%20INFORMATION%20LIMITED.png#originWidth=200&originHeight=100,AKMII INFORMATION LIMITED,AI+ Power 2026 exhibitor. Ref 3. Booth J32. Main scope: All. Chinese name: 知普信息科技有限公司.,
Exhibitor,AMEO CONNECT LIMITED,阿美奧雲有限公司,,,,,https://ameo.ai,Stand H11,H11,https://www.aipluspower.com/exhibitor-list,4,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Cybersecurity, Blockchain with AI Integration",wix:image://v1/00bc10_1e14d87ee94e48b5abdc74d09287fe4e~mv2.png/AI+Power2026_Exhibitor_AMEO%20CONNECT%20LIMITED.png#originWidth=625&originHeight=313,AMEO CONNECT LIMITED,"AI+ Power 2026 exhibitor. Ref 4. Booth H11. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Cybersecurity, Blockchain with AI Integration. Chinese name: 阿美奧雲有限公司.",
Exhibitor,ANIMO TECHNOLOGY LIMITED,,,,,,https://advoo.ai,Stand D06,D06,https://www.aipluspower.com/exhibitor-list,5,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_37e8e9f5863d433cbb28d514caf92f1d~mv2.png/AI+Power2026_Exhibitor_ANIMO%20TECHNOLOGY%20LIMITED.png#originWidth=625&originHeight=313,ANIMO TECHNOLOGY LIMITED,"AI+ Power 2026 exhibitor. Ref 5. Booth D06. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors.",
Exhibitor,APPLIED AI HONG KONG LIMITED,,,,,,https://aaico.com,Stand G31,G31,https://www.aipluspower.com/exhibitor-list,6,All,wix:image://v1/00bc10_2835e5fb04c44ea0a87364115d72f2a0~mv2.png/AI+Power2026_Exhibitor_APPLIED%20AI%20HONG%20KONG%20LIMITED.png#originWidth=625&originHeight=313,APPLIED AI HONG KONG LIMITED,AI+ Power 2026 exhibitor. Ref 6. Booth G31. Main scope: All.,
Exhibitor,ASTA SYSTEMS LIMITED,亞軟科技有限公司,,,,,https://www.astasys.com/,Stand E45,E45,https://www.aipluspower.com/exhibitor-list,7,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Cybersecurity, Blockchain with AI Integration",wix:image://v1/00bc10_bc4a673578c048a488e8dc03aedfee14~mv2.png/AI+Power2026_Exhibitor_ASTA%20SYSTEMS%20LIMITED.png#originWidth=200&originHeight=100,ASTA SYSTEMS LIMITED,"AI+ Power 2026 exhibitor. Ref 7. Booth E45. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Cybersecurity, Blockchain with AI Integration. Chinese name: 亞軟科技有限公司.",
Exhibitor,BR TECH,,,,,,https://en.brtech.kr/,Stand K54,K54,https://www.aipluspower.com/exhibitor-list,8,All,wix:image://v1/00bc10_ad699079ab7a4dce9021883bd9fb6b70~mv2.png/AI+Power2026_Exhibitor_BR%20Tech.png#originWidth=200&originHeight=100,BR TECH,AI+ Power 2026 exhibitor. Ref 8. Booth K54. Main scope: All.,
Exhibitor,CANGLORY LIMITED,,,,,,https://everonlearning.com,Stand H21,H21,https://www.aipluspower.com/exhibitor-list,9,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_911b52d27d49496f886321c2d78c7c09~mv2.png/AI+Power2026_Exhibitor_CANGLORY%20LIMITED.png#originWidth=625&originHeight=313,CANGLORY LIMITED,"AI+ Power 2026 exhibitor. Ref 9. Booth H21. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors.",
Exhibitor,Canon Hongkong Company Limited,佳能香港有限公司,,,,,https://hk.canon/en/business,Stand F11,F11,https://www.aipluspower.com/exhibitor-list,10,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_d0b2b21284244fb1ad71a38bd1378ead~mv2.jpg/Canon_DYA_COL_CMYK_1x1%20JPEG.jpg#originWidth=1546&originHeight=744,Canon Hongkong Company Limited,"AI+ Power 2026 exhibitor. Ref 10. Booth F11. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors. Chinese name: 佳能香港有限公司.",
