hit_type,company_name,company_name_cn,country,zip_code,city,federal_state,website,booth,booth_ref,profile_url,ref_no,main_scope_of_business,official_image,profile_title,profile_meta_description,profile_headings,website_home_url,website_home_title,website_home_meta_description,website_home_headings,website_about_url,website_about_title,website_about_meta_description,website_about_headings,score,priority_band,category,subcategory,matched_keywords,negative_keywords,country_priority_bucket,country_priority_boost,outreach_angle,website_fetch_error
Exhibitor,AMEO CONNECT LIMITED,阿美奧雲有限公司,,,,,https://ameo.ai,Stand H11,H11,https://www.aipluspower.com/exhibitor-list,4,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Cybersecurity, Blockchain with AI Integration",wix:image://v1/00bc10_1e14d87ee94e48b5abdc74d09287fe4e~mv2.png/AI+Power2026_Exhibitor_AMEO%20CONNECT%20LIMITED.png#originWidth=625&originHeight=313,AMEO CONNECT LIMITED,"AI+ Power 2026 exhibitor. Ref 4. Booth H11. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Cybersecurity, Blockchain with AI Integration. Chinese name: 阿美奧雲有限公司.",,https://ameo.ai/,AMEO Connect Limited — AI Products That Actually Work,"AMEO Connect Limited builds real AI products across enterprise automation, computer vision, gaming, and cultural AI. Based in Hong Kong.",We Build AI Products That Actually Work | Our AI Product Portfolio | AMEO CRM | AMEO Smart WMS | AMEO Roblox Builder | AMEO Fortune | AMEO CLASH VPN | Building the Future of Intelligent Software,,,,,51,A,partner_target,ai_vision_or_inspection_partner,"ai infrastructure, ai solutions, automation, blockchain, computer vision, cybersecurity, integration, platform",,,0,"Explore partnership around synthetic data, computer vision, QA automation, or visual inspection workflows.",
Exhibitor,VOTEE LIMITED,,,,,,https://votee.ai/,Stand H25,H25,https://www.aipluspower.com/exhibitor-list,82,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_e8b8f581da8a4986a76e5d8b8473ef80~mv2.png/AI+Power2026_Exhibitor_VOTEE%20LIMITED.png#originWidth=200&originHeight=100,VOTEE LIMITED,"AI+ Power 2026 exhibitor. Ref 82. Booth H25. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors.",,https://votee.ai/,Votee AI | Custom AI Solutions & LLM Development,"Votee offers custom AI solutions. From custom LLMs to generative AI, we provide the tools you need to build the modern AI stack.",Change Is the Only Constant - Votee's Adaptable AI. | Discover AI Innovations Spotlight | Craft Your Own AI Agent Workflow | LLMs for â Your Local Language | Agentic â RAG Chatbot (including Voice) | Vision Model for â Document Data Extraction | Stay in the Loop | Cookie Settings,https://votee.ai/about,Votee AI | About Us,"Learn about Votee's unique journey. We're an AI innovator blending cutting-edge LLM tech with a mindful, flow-driven philosophy.","For us, AI has always been the tool, not the goal. | 12+ | 30+ | 3 | Votee's AI Footprints | The Votee SPARK | Your AI Partner, No Matter Where You Are | Cookie Settings",42,A,partner_target,ai_solution_partner,"ai agent, ai infrastructure, ai solutions, generative ai, llm, platform",,,0,"Qualify whether their AI solution work overlaps with visual QA, inspection, data generation, or enterprise AI deployment.",
Exhibitor,AIX SOCIETY,人工智能應用研究學會,,,,,https://www.aixsociety.com,Stand H35,H35,https://www.aipluspower.com/exhibitor-list,2,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_7ad46d59d10c45d6829e7890959bc5ee~mv2.png/AI+Power2026_Exhibitor_AIX%20SOCIETY.png#originWidth=200&originHeight=100,AIX SOCIETY,"AI+ Power 2026 exhibitor. Ref 2. Booth H35. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors. Chinese name: 人工智能應用研究學會.",,https://aixsociety.com/,AiX Society - 人工智能應用研究學會 - AiX Society 人工智能應用研究學會,"Discover AiX Society—Hong Kong’s leading artificial intelligence research hub. Explore AI applications, Dingtalk, events, and insights driving innovation in Asia’s AI community.",Empowering Company’s Intelligent with AI Digital Employees | Thank You | HK01 Enterprise AI Transformation Day 2026 | Dingtalk Wukong Your AI-Native Workspace for Getting Real Work Done | Latest News - HOT OpenClaw | News Catagory | Book (2) | Cyber Insurance (3) | Event (3),https://aixsociety.com/our-team/,Our Team - AiX Society 人工智能應用研究學會,Join AI Empowerment Society and discover how our expert-led training and tailored LLM solutions can transform your business and career. Start your AI journey,Unlock the Power of | About AiX Society 人工智能應用研究學會 | Our Expert Team | Join Us Today,41,A,partner_target,ai_solution_partner,"ai infrastructure, ai solutions, artificial intelligence, insurance, llm, platform",,,0,"Qualify whether their AI solution work overlaps with visual QA, inspection, data generation, or enterprise AI deployment.",
Exhibitor,ITREND FORCE COMPANY LIMITED,曉智動力有限公司,,,,,https://itrendforce.com/,Stand E46,E46,https://www.aipluspower.com/exhibitor-list,41,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_65429f1b20664f9396abbf704dbe3e8b~mv2.png/AI+Power2026_Exhibitor_ITREND%20FORCE%20COMPANY%20LIMITED.png#originWidth=200&originHeight=100,ITREND FORCE COMPANY LIMITED,"AI+ Power 2026 exhibitor. Ref 41. Booth E46. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors. Chinese name: 曉智動力有限公司.",,https://itrendforce.com/,iTrendForce – Your AI Ally,"Professional AI Analytic solutions provider specializing in Causal AI, Building Analysis, and Video Analytics to transform your business operations.",Our Vision | AI Applications For Modern Days Operation Challenges | Transform Your Business with AI-Powered Analytics | Our AI Analytic Solutions | Causal Analyst - Ari | AI Video Analyst | Why Choose iTrendForce | AI Expertise,https://itrendforce.com/about,iTrendForce – Your AI Ally,"Professional AI Analytic solutions provider specializing in Causal AI, Building Analysis, and Video Analytics to transform your business operations.",Our Vision | AI Applications For Modern Days Operation Challenges | Transform Your Business with AI-Powered Analytics | Our AI Analytic Solutions | Causal Analyst - Ari | AI Video Analyst | Why Choose iTrendForce | AI Expertise,41,A,partner_target,ai_vision_or_inspection_partner,"ai infrastructure, ai solutions, analytics, platform, video analytics",,,0,"Explore partnership around synthetic data, computer vision, QA automation, or visual inspection workflows.",
Exhibitor,NEXSTRIDE TECHNOLOGY LIMITED,納思動力科技有限公司,,,,,https://nexstride.hk/,Stand H26,H26,https://www.aipluspower.com/exhibitor-list,55,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Blockchain with AI Integration, Cybersecurity",wix:image://v1/00bc10_38c1de5a8cf54742a9ab04ad053a47e1~mv2.png/AI+Power2026_Exhibitor_NEXSTRIDE%20TECHNOLOGY%20LIMITED.png#originWidth=625&originHeight=313,NEXSTRIDE TECHNOLOGY LIMITED,"AI+ Power 2026 exhibitor. Ref 55. Booth H26. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Blockchain with AI Integration, Cybersecurity. Chinese name: 納思動力科技有限公司.",,https://www.nexstride.hk//,NexStride | 企業 AI 自動化與智能代理方案,NexStride 提供企業 AI 自動化、智能代理與流程升級方案，協助團隊提升效率與決策能力。,以智能科技，驅動企業未來 | 數字說話，成效看得見 | 企業核心服務體系 | 智能財務系統 FinAuditor | 人力資源與人才分析 HR-Buddy | 智能採購管理 ProcureAgent | 客戶關係與銷售預測 SalesBot | 智能生產排程 OpsMaster,https://www.nexstride.hk/about,關於 NexStride | AI 企業轉型團隊,認識 NexStride 的方法論、技術架構與企業 AI 轉型實踐能力。,重新定義企業智能 | 為什麼選擇 NexStride？ | Cloud Native | 我們的核心優勢 | 極速部署，立竿見影 | 數據驅動，決策無誤 | 伴隨成長的彈性架構 | 企業級資安標準,41,A,partner_target,ai_solution_partner,"ai infrastructure, ai solutions, blockchain, cloud, cybersecurity, integration, platform",,,0,"Qualify whether their AI solution work overlaps with visual QA, inspection, data generation, or enterprise AI deployment.",
Exhibitor,SDS - TECHGLOBAL LIMITED,,,,,,https://www.sds-techglobal.com/,Stand F03,F03,https://www.aipluspower.com/exhibitor-list,67,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors",wix:image://v1/00bc10_a8bdacd9b7fa4fb99dd1a8b6b2201b12~mv2.png/AI+Power2026_SDS%20-%20TECHGLOBAL%20LIMITED.png#originWidth=625&originHeight=313,SDS - TECHGLOBAL LIMITED,"AI+ Power 2026 exhibitor. Ref 67. Booth F03. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors.",,https://www.sds-techglobal.com/,SDS-Techglobal Limited - New-norm Modern Workplace,"SDS-TechGlobal Limited (SDS) focus on delivering New-norm modern workplace, Smart Office, Unified Communications, Development and IOT …",SDS-Techglobal | Microsoft Teams | Office Solutions | Robotic Process Automation | Virtual Onboarding | Conference Room Design | About SDS | Member of,https://www.sds-techglobal.com/about,About — SDS-Techglobal Limited New-norm Modern Workplace,,About SDS | Visit Us | SDS-Techglobal,40,A,partner_target,industrial_ai_or_automation_partner,"ai infrastructure, ai solutions, automation, iot, platform",,,0,"Explore integration around industrial AI, automation, factory data, or inspection-adjacent workflows.",
Exhibitor,ASTA SYSTEMS LIMITED,亞軟科技有限公司,,,,,https://www.astasys.com/,Stand E45,E45,https://www.aipluspower.com/exhibitor-list,7,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Cybersecurity, Blockchain with AI Integration",wix:image://v1/00bc10_bc4a673578c048a488e8dc03aedfee14~mv2.png/AI+Power2026_Exhibitor_ASTA%20SYSTEMS%20LIMITED.png#originWidth=200&originHeight=100,ASTA SYSTEMS LIMITED,"AI+ Power 2026 exhibitor. Ref 7. Booth E45. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Cybersecurity, Blockchain with AI Integration. Chinese name: 亞軟科技有限公司.",,https://www.astasys.com/en,Asta Systems Limited 亞軟科技有限公司,Asta Systems Ltd 成立於 2000 年，是備受信賴的 Odoo 銀級合作夥伴，專注於提供具變革性的 Odoo ERP 及先進 AI 解決方案。我們已成功協助數百家客戶，推動涵蓋零售、批發、貿易、專業服務、非政府組織 (NGO)、政府機構、律師事務所、銀行金融與教育等多元行業的數碼創新。,AI + Enterprise Resource Planning System | Odoo caters to all of your requirements | Odoo Certification | ​ | HAVE EVERYTHING YOU NEED | ON ONE PLATFORM | DISCOVER THE MODULES (scroll using the buttons below) | EFFECTIVE SALES MANAGEMENT,https://www.astasys.com/en/aboutus,aboutUs | Asta Systems Limited,,Leading Digital Transformation | Empowering the Future of Business | 值得信賴的 Odoo 銀級夥伴 與數碼創新推手 | Empowering Diverse Industries | Odoo ERP Expertise | Advanced AI Integration | Localized Professional Support | Ready to Embark on Your Digital Transformation Journey?,39,A,partner_target,ai_solution_partner,"ai infrastructure, ai solutions, blockchain, cybersecurity, integration, platform",,,0,"Qualify whether their AI solution work overlaps with visual QA, inspection, data generation, or enterprise AI deployment.",
Exhibitor,CARRYAI COMPANY LIMITED,,,,,,https://www.carryai.co/,Stand F13,F13,https://www.aipluspower.com/exhibitor-list,11,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Blockchain with AI Integration",wix:image://v1/00bc10_a6cee9c5bc6c435281ebe4d51de8def5~mv2.png/AI+Power2026_Exhibitor_CARRYAI%20COMPANY%20LIMITED%20(1).png#originWidth=625&originHeight=313,CARRYAI COMPANY LIMITED,"AI+ Power 2026 exhibitor. Ref 11. Booth F13. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Blockchain with AI Integration.",,https://www.carryai.co/,CarryAI VLM AI Analytics,Advanced Vision-Language Model AI Solutions for Real-World Applications. Transform visual data into actionable intelligence with cutting-edge VLM technology.,"CarryAI - Advanced Vision-Language Model AI Solutions | Vision-Language Model AI for Facility Management, PropTech & Construction Tech | Image Understanding | Facility Management | PropTech | Construction Tech | Why CarryAI's Enterprise VLM Stands Apart | VLM AI in Action",https://www.carryai.co/about,CarryAI VLM AI Analytics,Advanced Vision-Language Model AI Solutions for Real-World Applications. Transform visual data into actionable intelligence with cutting-edge VLM technology.,"CarryAI - Advanced Vision-Language Model AI Solutions | Vision-Language Model AI for Facility Management, PropTech & Construction Tech | Image Understanding | Facility Management | PropTech | Construction Tech | Why CarryAI's Enterprise VLM Stands Apart | VLM AI in Action",39,A,partner_target,ai_solution_partner,"ai infrastructure, ai solutions, analytics, blockchain, integration, platform",,,0,"Qualify whether their AI solution work overlaps with visual QA, inspection, data generation, or enterprise AI deployment.",
Exhibitor,TERALEC SYSTEMS LIMITED,,,,,,https://www.teralec.com,Stand F21,F21,https://www.aipluspower.com/exhibitor-list,74,"All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Blockchain with AI Integration, Cybersecurity",wix:image://v1/00bc10_dfe2b56aa4b04a20b908b493006d2c75~mv2.png/AI+Power2026_Exhibitor_TERALEC%20SYSTEMS%20LIMITED.png#originWidth=625&originHeight=313,TERALEC SYSTEMS LIMITED,"AI+ Power 2026 exhibitor. Ref 74. Booth F21. Main scope: All, AI Infrastructure & Platform, AI Solutions, AI+ Applications Across Industries/ Sectors, Blockchain with AI Integration, Cybersecurity.",,https://www.teralec.com.mo/,Home | Teralec Systems,,Innovative IT Services | About Our Company | Client Testimonials,https://www.teralec.com.mo/about,About | Teralec Systems,,About | Our Partners,39,A,partner_target,ai_solution_partner,"ai infrastructure, ai solutions, blockchain, cybersecurity, integration, platform",,,0,"Qualify whether their AI solution work overlaps with visual QA, inspection, data generation, or enterprise AI deployment.",
Exhibitor,TETRA LIMITED,,,,,,https://tetra.hk,Stand G14,G14,https://www.aipluspower.com/exhibitor-list,75,"AI Solutions, All, AI Infrastructure & Platform, AI+ Applications Across Industries/ Sectors, Blockchain with AI Integration, Cybersecurity",wix:image://v1/00bc10_bb1871e84d0f490683a544faab81e1c1~mv2.png/AI+Power2026_Exhibitor_TETRA%20LIMITED.png#originWidth=200&originHeight=100,TETRA LIMITED,"AI+ Power 2026 exhibitor. Ref 75. Booth G14. Main scope: AI Solutions, All, AI Infrastructure & Platform, AI+ Applications Across Industries/ Sectors, Blockchain with AI Integration, Cybersecurity.",,https://tetra.hk,,,,,,,,39,A,partner_target,ai_solution_partner,"ai infrastructure, ai solutions, blockchain, cybersecurity, integration, platform",,,0,"Qualify whether their AI solution work overlaps with visual QA, inspection, data generation, or enterprise AI deployment.","HTTPSConnectionPool(host='tetra.hk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
