hit_type,company_name,country,zip_code,city,federal_state,website,booth,profile_url,profile_title,profile_meta_description,profile_headings,website_home_url,website_home_title,website_home_meta_description,website_home_headings,website_about_url,website_about_title,website_about_meta_description,website_about_headings,score,priority_band,category,subcategory,matched_keywords,negative_keywords,country_priority_bucket,country_priority_boost,outreach_angle,website_fetch_error
Exhibitor,SANXO-SYSTEMS Finn-Magyar Méréstechnikai és Automatizálási Kf,Hungary,1221,Budapest,,https://www.sanxo.eu,"Hall 17, Stand F58",https://www.hannovermesse.de/exhibitor/sanxo-systems/N1611502,HANNOVER MESSE Exhibitor 2026: SANXO-Systems,"SANXO-Systems Ltd is a technology company that develops and delivers advanced hardware and software solutions in the fields of digital microscopy, machine vision, and robotic automation.  A core area of the company’s expertise is in digital industrial microscopes, especially the SANXO-Scope series, which are designed for high-quality magnified imaging, measurement, and inspection tasks. In addition to microscopy, SANXO provides machine vision systems that include industrial cameras, optics, lighting, and custom software to automate inspection and quality control processes in manufacturing. Its machine vision solutions are used to reduce labor costs, increase accuracy, and support automated guidance of robots on production lines.",,https://sanxo.eu/,"SANXO-Systems Ltd. | Digital microscopes, machine vision and robot application solutions","SANXO-Systems Ltd. is a growing technological company in Hungary. 10+ year experience in digital microscopes, MV and robotics. Find an innovative solution!",Digital microscope | Robotics | New concept of AOI system | Continuous innovation | Online support | Innovative Solutions | Digital microscope | Machine Vision systems,https://sanxo.eu/news-about-sanxo/,News: press releases & exhibitions | SANXO,"Read about our newest press releases and exhibitions. News about SANXO Group, microscopy, MV, AOI and robotics. Check it out!",News about Sanxo,37,A,partner_target,inspection_hardware_or_metrology,"automation, inspection, machine vision, measurement, quality control, robotic, robotics",,priority_europe,6,"Explore integration with manual or semi-automated inspection hardware, sensors, or metrology equipment.",
Exhibitor,Basler AG,Germany,22926,Ahrensburg,Schleswig-Holstein,http://www.baslerweb.com,"Hall 27, Stand A48",https://www.hannovermesse.de/exhibitor/basler/N1616989,HANNOVER MESSE Exhibitor 2026: Basler,"Basler is a leading manufacturer of high-quality cameras and camera accessories for industry, medicine, traffic and a variety of other markets. The company's product portfolio encompasses area scan and line scan cameras in compact housing dimensions, camera modules in board level variants for embedded vision solutions, and 3D cameras. The catalog is rounded off by our user-friendly pylon SDK plus a broad spectrum of accessories, including several developed specially for Basler and optimally harmonized for our cameras. Basler has three decades of experience in computer vision. The company is home to approximately 600 employees, at its headquarters in Ahrensburg, Germany, and at its subsidiaries and sales offices in Europe, Asia, and North America.",,https://www.baslerweb.com/en/,Basler: Machine Vision Expert | Basler AG,Everything you need for your vision system: Hardware and Software Components ✓ Machine Vision Solutions for your project ✓,We Give Technology the Power of Sight | Hardware and software from a single source | Machine vision in action | Our highlights and news,https://www.baslerweb.com/en/illumination/,Machine Vision Illumination | Basler AG,Illumination solutions: Choose the right lighting early » Save time & money ✓ Lighting control and much more ➤ See it here!,Illumination | Ideal lighting conditions in machine vision | Lighting products for machine vision | You haven't found the right product? | Illumination for industrial image processing systems | More information about LED lighting for machine vision,31,B,partner_target,ai_inspection_or_data_partner,"camera, computer vision, image processing, machine vision, vision system",,priority_europe,6,"Explore partnership around synthetic data, computer vision, and industrial AI inspection workflows.",
Exhibitor,Nuevas Técnicas de Automatización Industrial S.L. (NUTAI),Spain,46460,Silla,,https://www.nutai.com,"Hall 15, Stand B14",https://www.hannovermesse.de/exhibitor/nutai/N1615150,HANNOVER MESSE Exhibitor 2026: NUTAI,"At NUTAI, we design and deliver cutting-edge technological solutions in industrial automation, leveraging advanced robotics, machine vision, artificial intelligence (AI), and machine tool technologies to transform production environments. With over 30 years of experience across diverse industrial sectors —including automotive, sustainable mobility, energy, and Industry 4.0— we lead turnkey projects that optimize processes.  Recognized as an Innovative SME by the Spanish Government since 2016 and actively collaborating with industry leaders across Europe, our multidisciplinary team combines deep technical expertise with a client-focused approach to develop tailor-made automation solutions and proprietary products. Our offerings range from intelligent robotics and real-time machine vision systems to AI-driven quality control and integrated digital manufacturing platforms.",,https://nutai.com/,NUTAI S.L. | Soluciones de Automatización Industrial,"En NUTAI desarrollamos soluciones en automatización industrial, robótica, visión artificial y energía para optimizar procesos productivos.",NUTAI | Áreas de trabajo | Automatización Industrial | Visión artificial | máquina herramienta y líneas de mecanizado | robótica colaborativa | Inteligencia artificial | Energía,https://nutai.com/en/company/,NUTAI,NUTAI was founded by Fernando Torrijos and Enrique Vacas at the CEEI Valencia Technology Park in Paterna,"NUTAI | Welcome to nutai | At NUTAI, our mission is to drive the industrial future with advanced, efficient, and environmentally friendly technological solutions. | 29th anniversary | Mission | Vision | OUR VALUES | 29",30,B,partner_target,ai_inspection_or_data_partner,"artificial intelligence, automation, machine vision, quality control, robotics, turnkey",,priority_europe,6,"Explore partnership around synthetic data, computer vision, and industrial AI inspection workflows.",
Exhibitor,MVTec Software GmbH,Germany,80634,München,Bavaria,http://www.mvtec.com,"Hall 27, Stand A48",https://www.hannovermesse.de/exhibitor/mvtec-software/N1617001,HANNOVER MESSE Exhibitor 2026: MVTec Software,"MVTec Software GmbH is a leading international manufacturer of software for machine vision used in all demanding areas of imaging like the semi-conductor industry, inspection, optical quality control, metrology, medicine, or surveillance. In particular, software by MVTec enables new automation solutions in settings of the Industrial Internet of Things.  MVTec is the developer and vendor of the general purpose machine vision software products HALCON and MERLIC. Furthermore, MVTec builds customized software solutions for machine vision - from consultancy, studies, and prototypes up to integrated products.",,https://www.mvtec.com/,Machine Vision Solutions by MVTec | Industry-Leading Software and Services,"Discover MVTec's cutting-edge machine vision solutions. Our hardware-independent software, including HALCON and MERLIC, provides robust, scalable solutions for industries worldwide. Explore our services, technical support, and training to enhance your projects today.",Leading the future of machine vision | Our Customers & Partners | Success Stories Of Our Customers | Comprehensive products for machine vision solutions | Customized Solutions For Your Needs | Latest news about us and our products | Meet Us Around The World,https://www.mvtec.com/about-us,MVTec Software GmbH – Leading machine vision software & innovation | MVTec,"MVTec develops HALCON, MERLIC, and the Deep Learning Tool – powerful machine vision software for automation, IIoT, and deep learning. Founded in 1996, family-owned, and innovation-driven.",Leading software for machine vision | MVTec Machine Vision Software | Our Customers | Our Commitment,29,B,partner_target,inspection_hardware_or_metrology,"automation, inspection, machine vision, metrology, quality control",,priority_europe,6,"Explore integration with manual or semi-automated inspection hardware, sensors, or metrology equipment.",
Exhibitor,AMETEK GmbH Geschäftsbereich Creaform,Germany,70771,Leinfelden-Echterdingen,Baden-Wurttemberg,https://www.creaform3d.com,"Hall 17, Stand D32",https://www.hannovermesse.de/exhibitor/ametek-creaform/N1480856,HANNOVER MESSE Exhibitor 2026: AMETEK - Creaform,"With headquarters in Lévis, Québec, Canada and Lake Mary, Florida, USA, FARO CREAFORM is the result of the combination of FARO’s renowned 3D Measurement business segment and Creaform’s innovative metrology solutions. With roots dating back to 1981, FARO has been a global leader in portable measurement arms, laser trackers, and reality capture technologies. Creaform, founded in 2002 in Lévis, Québec, has revolutionized handheld 3D scanning and automated inspection, serving thousands of professionals in automotive, aerospace, manufacturing, and research. Together, FARO CREAFORM empowers quality, production, maintenance and design teams to work faster, smarter, and with total confidence, unlocking better outcomes and superior experiences across manufacturing workflows. FARO CREAFORM is a business unit of AMETEK, Inc., a leading global provider of industrial technology solutions serving a diverse set of attractive niche markets with annual sales of over $7.0 billion.",,https://www.creaform3d.com/,"3D Scanners, CMM Scanners & Metrology Measurement Solutions | Creaform","Creaform delivers high-accuracy 3D scanners, CMM laser systems, and metrology-grade solutions for 3D measurement, inspection, and product development.","Solutions | The Future of 3D Metrology Takes Form | Reshaping the landscape of 3D metrology by redefining the limits of innovation | 3D Scanning, CMM, and Metrology Solutions Trusted by Industry Leaders | High-Performance 3D Scanners and CMM Technologies | Creaform Metrology Suite TM | FARO 3D Metrology Offering | Experience the performance of portable 3D scanners",https://www.creaform3d.com/en/solutions/3d-scanning-enhance-clay-modeling-design-process,Hyundai North America & 3D scanning | Blog | Creaform,Hyundai North America chooses Creaform’s HandySCAN 3D portable 3D scanner for real-time development and work on their clay models. Learn more.,Solutions | 3D SCANNING TO ENHANCE CLAY MODELING IN THE DESIGN PROCESS OF AUTOMOTIVE MANUFACTURERS | RELATED PRODUCTS | NEED MORE INFORMATION ABOUT OUR SOLUTIONS?,28,B,partner_target,inspection_hardware_or_metrology,"inspection, measurement, metrology, scanner",,priority_europe,6,"Explore integration with manual or semi-automated inspection hardware, sensors, or metrology equipment.",
Exhibitor,Temposonics GmbH & Co. KG,Germany,58513,Lüdenscheid,North Rhine-Westphalia,https://www.temposonics.com,"Hall 26, Stand E98, (1)",https://www.hannovermesse.de/exhibitor/temposonics/N1606281,HANNOVER MESSE Exhibitor 2026: Temposonics,"Temposonics is a global leader in the field of magnetostrictive measurement technology. For 50 years, we have pioneered the industry, embodying innovation and maximum reliability. Specializing in high-precision linear position sensors and level transmitters, Temposonics offers the broadest range of magnetostrictive sensor solutions in terms of design, output, and performance. Our non-contact sensors provide accurate and dynamic position and velocity measurements for automation and safety-critical systems in industrial machinery, off-highway vehicles, and process industries.  We have manufacturing facilities in Lüdenscheid and Dortmund (Germany) and Cary (NC, USA) with direct sales offices and authorized distributors worldwide. Thanks to our many years of experience and focus on our core technology, based on the principle of magnetostriction, we are always one step ahead of industry trends. Our customers benefit from a combination of application knowledge, service and collaboration.",,https://www.temposonics.com/,Temposonics Linear Position Sensors & Liquid Level Transmitters,Temposonics develops and manufactures linear position sensors (linear position transducers) and liquid-level transmitters for standard and customized applications.,"ABSOLUTE, NON-CONTACT LINEAR POSITION SENSORS & LIQUID LEVEL Transmitters | News and Events | Temposonics at the CONEXPO-CON/AGG 2026 | Temposonics MH-Series XTERNAL MOUNT | Temposonics R-Series V RD5 – A long-distance relationship that works | About Temposonics | Contact | Temposonics, LLC",https://www.temposonics.com/about/Company,Company Profile,Temposonics is a global supplier of mechanical testing systems and position sensors for a wide variety of markets and applications.,"Company | Temposonics | Any Questions? | Contact | Temposonics, LLC | Temposonics GmbH & Co. KG | Subscribe",26,B,partner_target,inspection_hardware_or_metrology,"automation, measurement, sensor, testing",,priority_europe,6,"Explore integration with manual or semi-automated inspection hardware, sensors, or metrology equipment.",
Exhibitor,Cobro Robot Teknolojiler Otomasyon Mühendislik Makine ?malat? San. ve Tic. Ltd. Sti.,Türkiye,34906,Pendik,,https://www.cobro.com.tr/en,"Hall 14, Stand L27, (14)",https://www.hannovermesse.de/exhibitor/cobro-robot-teknolojiler/N1608165,HANNOVER MESSE Exhibitor 2026: Cobro Robot Teknolojiler,"Cobro Robot Technologies is a technology-driven automation company based in Teknopark Istanbul, specializing in turnkey robotic automation solutions for industrial applications. We design and integrate collaborative and industrial robot systems for assembly, machine tending, packaging, palletizing, quality inspection, and material handling processes.  In addition to turnkey projects, Cobro develops proprietary R&D products, including a locally developed flexible feeding system (CEBS) combined with AI-powered vision solutions for precise part detection and robot guidance. Our solutions aim to increase production efficiency, reduce dependency on imported systems, and shorten commissioning times.  With strong expertise in collaborative robotics, vision integration, and industrial automation, Cobro delivers reliable, scalable, and cost-effective solutions tailored to customer needs in automotive, food, white goods, and general manufacturing industries.",,https://www.cobro.com.tr/en/,Home - Cobro Robot Technologies,"Meet Collaborative RobotsCobots!Moving to robot automation has never been easier.Click for detailsWe are with you!As Cobot experts, we are with you at every stage, from start to finish!High PerformanceWe guarantee high performance in picking and packaging technologies.Efficiency and Quality IncreaseWe offer increased efficiency and quality while enabling you to digitize with innovative and flexible solutions.",Why Us? | Importance of Automation | Applications | Services | Corporate,https://www.cobro.com.tr/en/,Home - Cobro Robot Technologies,"Meet Collaborative RobotsCobots!Moving to robot automation has never been easier.Click for detailsWe are with you!As Cobot experts, we are with you at every stage, from start to finish!High PerformanceWe guarantee high performance in picking and packaging technologies.Efficiency and Quality IncreaseWe offer increased efficiency and quality while enabling you to digitize with innovative and flexible solutions.",Why Us? | Importance of Automation | Applications | Services | Corporate,24,C,partner_target,inspection_hardware_or_metrology,"automation, inspection, robotic, robotics, turnkey",,priority_middle_east,7,"Explore integration with manual or semi-automated inspection hardware, sensors, or metrology equipment.",
Exhibitor,MICRO-EPSILON Messtechnik GmbH & Co. KG,Germany,94496,Ortenburg,Bavaria,https://www.micro-epsilon.com,"Hall 27, Stand J23",https://www.hannovermesse.de/exhibitor/micro-epsilon-messtechnik/N1476407,HANNOVER MESSE Exhibitor 2026: MICRO-EPSILON Messtechnik,"More precision for the world of tomorrow  As a leading manufacturer of precision sensor technology, we are shaping the future. Our systems are used whenever accuracy and performance are crucial to success. In machine building and automation as well as in satellite technology and in the production of next-generation batteries and computer chips. As a globally active group of companies, we are making a decisive contribution to the world of tomorrow - and have been doing so for more than 56 years.  Whether for quality assurance, predictive maintenance, process and machine monitoring or advanced automation – sensors from Micro-Epsilon make a significant contribution to improving products and processes in a wide range of industries. As a result, efficiency gains are achieved in production and the cost of materials, waste and energy is significantly reduced.",,https://www.micro-epsilon.com/,Home | Micro-Epsilon,,"Sensors and measuring systems with more precision | Micro-Epsilon | Cutting-edge technology for high-precision measurements | Solutions for high-tech industries | Latest news | High-precision sensors, measurement devices, and systems | Precise and Reliable | All dates at a glance",https://www.micro-epsilon.com/company/,Precision sensors for the world of tomorrow | Micro-Epsilon,Leading manufacturer of precision sensors: decades of experience and in-depth industry knowledge. Shaping the future with sensor technology!,Micro-Epsilon | More precision for the world of tomorrow | High performance in all industries | High technology | More Precision | Micro-Epsilon image brochure | Shaping the future with sensor technology - Corporate Video | Testimonials,24,C,partner_target,inspection_hardware_or_metrology,"automation, measurement, quality assurance, sensor",,priority_europe,6,"Explore integration with manual or semi-automated inspection hardware, sensors, or metrology equipment.",
Exhibitor,Eurobotik Otomasyon ve Görüntü ??leme Tek. San. ve Tic. Ltd. Sti.,Türkiye,34433,Beyoglu,,https://www.eurobotik.com/,"Hall 13, Stand E01, (7)",https://www.hannovermesse.de/exhibitor/eurobotik-otomasyon/N1609190,HANNOVER MESSE Exhibitor 2026: Eurobotik Otomasyon,"As Eurobotik we define ourselves as a solution-oriented establishment, which has a unique ability in image processing and industrial robotics projects. Eurobotik provides innovative robotic solutions to optimize manufacturing processes. On of the standout Smart Robotic Screwing System features adaptive software, automatic sensor calibration, high-precision 3D scanning, and fixture-free operation. This cutting-edge system boosts efficiency and reduces costs, delivering exceptional value to industries such as white goods, automotive, and electronics.. Furthermore, you can check our website for more about our projects, vision, and mission.",,https://www.eurobotik.com/,,,,,,,,23,C,partner_target,ai_inspection_or_data_partner,"image processing, robotic, robotics, sensor",,priority_middle_east,7,"Explore partnership around synthetic data, computer vision, and industrial AI inspection workflows.","HTTPSConnectionPool(host='www.eurobotik.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.eurobotik.com'. (_ssl.c:1032)"")))"
Exhibitor,Carl Zeiss Industrielle Messtechnik GmbH,Germany,73447,Oberkochen,Baden-Wurttemberg,https://www.zeiss.de/messtechnik/home.html,"Hall 17, Stand E04",https://www.hannovermesse.de/exhibitor/zeiss/N1605348,HANNOVER MESSE Exhibitor 2026: ZEISS,"ZEISS Industrial Quality Solutions is a leading manufacturer of multidimensional metrology solutions. These include coordinate measuring machines, optical and multisensor systems, microscopy systems for industrial quality assurance as well as metrology software for the automotive, aircraft, mechanical engineering, plastics and medical technology industries. Innovative technologies such as 3D X-ray metrology for quality inspection round off the portfolio. In addition, ZEISS Industrial Quality Solutions offers a broad global spectrum of customer services with ZEISS Quality Excellence Centers close to its customers. The company is headquartered in Oberkochen. Production and development sites outside Germany are located in Minneapolis in the USA, Shanghai (China) and Bangalore (India). ZEISS Industrial Quality Solutions is part of the Industrial Quality & Research segment.",,https://www.zeiss.de/messtechnik/home.html,Industrial Metrology: ZEISS Industrial Quality Solutions,ZEISS Industrial Quality Solutions ist Ihr Partner für die mehrdimensionale industrielle Messtechnik. Entdecken Sie unser perfekt auf Ihre Branche zugeschnittenes Produktportfolio!,Verwandte ZEISS Websites | ZEISS QUALITY INNOVATIONS at HANNOVER MESSE | Lösungen für Ihre messtechnischen Herausforderungen | Messen und Veranstaltungen | ZEISS QUALITY INNOVATIONS at HANNOVER MESSE | Empfohlenes Highlight | Nächste Termine | Scroll animation items,https://www.zeiss.de/messtechnik/ueber-uns.html,Über ZEISS Industrial Quality Solutions,Create Customer Success with ZEISS!,Verwandte ZEISS Websites | ZEISS Industrial Quality Solutions | Ihr Partner für mehrdimensionale industrielle Messtechnik | Dekarbonisierung ist einer der Haupttreiber für die Markttransformation | 100 Jahre ZEISS Industrielle Messtechnik | Lösungen für Ihre messtechnischen Herausforderungen | Weitere Informationen | Social Media & User Stories,22,C,partner_target,inspection_hardware_or_metrology,"inspection, metrology, quality assurance, x-ray",media,priority_europe,6,"Explore integration with manual or semi-automated inspection hardware, sensors, or metrology equipment.",
