hit_type,company_name,country,zip_code,city,federal_state,website,booth,profile_url,exhibitor_id,product_categories,product_category_ids,description,address,pavilion,hashtags,principals_company,agents_company,principals_country,agents_country,sales_office,brochure,photo_url,linkedin_url,facebook_url,profile_title,profile_headings,profile_meta_description,excluded_source_reason
Exhibitor,3D SMART SOLUTIONS COMPANY LIMITED,VIETNAM,,,,https://3d-smartsolutions.com/,JETRO VN Hall B Stand VN11,https://exhibitors.informamarkets-info.com/event/MTV26/en-US/exhibitor/484634/3d-smart-solutions-company-limited,484634,"Bending Machines,CAD / CAM /CAE,Control, Measuring & Monitoring /Inspection Equipment,Rapid Prototyping Systems,Dimensional Measuring Devices,Precision Gauges,Precision Measurement Software,Coiling & Wire Forming Machines,Waterjet Cutting Machines","123776,123778,123779,123798,123801,123824,123831,123832,123843","Established in 2009, 3D Smart Solutions (3DS) is a leading prestigious technology consultant, supplier and transferor in Vietnam with industrial 3D printers, 3D scanners and Mastercam software. In 2023, 3DS inaugurated the largest 3D factory in Vietnam with an area of ​​1,200 square meters and many modern machinery and equipment systems according to international standards.","No. 58/6 Vo Van Hat Street, Phuoc Hiep Quarter, Long Truong Ward, Thu Duc City, Ho Chi Minh City.",JETRO VN,,,3D SMART SOLUTIONS,,Vietnam,IM VIETNAM (JETRO),https://eec.informamarkets-info.com/oga/profile/upload/2026/06/23/ENG-3DSCompanyProfile1-compressed_2026-06-23_20260623103752A671.pdf,https://eec.informamarkets-info.com/oga/profile/upload/2026/05/13/blob_2026-05-13_20260513093922A906.png,https://www.linkedin.com/company/3d-smart-solutions/,https://www.facebook.com/3DSmartSolutionsCompany,3D SMART SOLUTIONS COMPANY LIMITED,,"MTA Vietnam 2026 exhibitor. Country: VIETNAM. Booth: JETRO VN Hall B Stand VN11. Categories: Bending Machines,CAD / CAM /CAE,Control, Measuring & Monitoring /Inspection Equipment,Rapid Prototyping Systems,Dimensional Measuring Devices,Precision Gauges,Precision Measurement Software,Coiling & Wire Forming Machines,Waterjet Cutting Machines. Established in 2009, 3D Smart Solutions (3DS) is a leading prestigious technology consultant, supplier and transferor in Vietnam with industrial 3D printers, 3D scanners and Mastercam software. In 2023, 3DS inaugurated the largest 3D factory in Vietnam with an area of ​​1,200 square meters and many modern machinery and equipment systems according to international standards. Address: No. 58/6 Vo Van Hat Street, Phuoc Hiep Quarter, Long Truong Ward, Thu Duc City, Ho Chi Minh City.. Pavilion: JETRO VN. Agents/company reps: 3D SMART SOLUTIONS. Agent countries: Vietnam.",
Exhibitor,7Leaders Corp.,TAIWAN,,,,https://www.7leaders.com/,TAITRA Hall A Stand AN2-5,https://exhibitors.informamarkets-info.com/event/MTV26/en-US/exhibitor/482422/7leaders-corp,482422,"Gear Cutting,Jigs & Fixtures,Blades,Rollers,Material Handling & Storage","123783,123792,123800,123816,123821","Founded in 1990, 7-Leaders is a Solid Carbide Cutting Tools manufacture of End Mills, Drills and Reamers...etc. We have been providing high quality products and services all over the world. The new plant which covers an area of 5,000㎡ is located in Taichung Industrial Park. The concept of the building is with transparency, green energy and wall-less design. The internal spaces can be accommodated with up to 150 sets of manufacturing equipment to meet the various requirements from the relevant industries of cutting tools & machinery fields. All the solid carbide cutting tools manufactured by 7Leaders can be applied in the fields of Mold & Die, Machinery Parts, Automotive, Aerospace, 3C, Optical, Sport Equipment, and Medical Industry; and our products have been widely distributed in Europe, Asia, Central America, Brazil, and many other countries.","No. 98-110, Gongyequ 1st Rd., Xiehe Vil., Xitun Dist., Taichung City 407018, Taiwan (R.O.C.)",TAITRA,,,"TOOL DE INTERNATIONAL CO., LTD|Dura Tools Sdn Bhd|Prealpina Srl|Production link|ETM TECH(THAILAND) CO., LTD.",,Japan|Malaysia|Italy|Singapore|Thailand,IM IEM,,https://eec.informamarkets-info.com/oga/profile/upload/2026/04/13/blob_2026-04-13_20260413102331A047.jpeg,https://tw.linkedin.com/company/7-leaders-corp,https://www.facebook.com/share/v/18JqnP5uUq/,7Leaders Corp.,,"MTA Vietnam 2026 exhibitor. Country: TAIWAN. Booth: TAITRA Hall A Stand AN2-5. Categories: Gear Cutting,Jigs & Fixtures,Blades,Rollers,Material Handling & Storage. Founded in 1990, 7-Leaders is a Solid Carbide Cutting Tools manufacture of End Mills, Drills and Reamers...etc. We have been providing high quality products and services all over the world. The new plant which covers an area of 5,000㎡ is located in Taichung Industrial Park. The concept of the building is with transparency, green energy and wall-less design. The internal spaces can be accommodated with up to 150 sets of manufacturing equipment to meet the various requirements from the relevant industries of cutting tools & machinery fields. All the solid carbide cutting tools manufactured by 7Leaders can be applied in the fields of Mold & Die, Machinery Parts, Automotive, Aerospace, 3C, Optical, Sport Equipment, and Medical Industry; and our products have been widely distributed in Europe, Asia, Central America, Brazil, and many other countries. Address: No. 98-110, Gongyequ 1st Rd., Xiehe Vil., Xitun Dist., Taichung City 407018, Taiwan (R.O.C.). Pavilion: TAITRA. Agents/company reps: TOOL DE INTERNATIONAL CO., LTD|Dura Tools Sdn Bhd|Prealpina Srl|Production link|ETM TECH(THAILAND) CO., LTD.. Agent countries: Japan|Malaysia|Italy|Singapore|Thailand.",
Exhibitor,ACHTECK,CHINA,,,,https://www.achtecktool.com,BESA Hall A Stand AH2-1,https://exhibitors.informamarkets-info.com/event/MTV26/en-US/exhibitor/476007/achteck,476007,"Gear Cutting,Jigs & Fixtures,Blades","123783,123792,123800","Ganzhou Achteck Tool Technology Co, Ltd. is a wholly owned subsidiary of Chongyi Zhangyuan Tungsten Co, Ltd. (Listed Company with stock code 002378). The registered capital of Achteck is 260 milion USD with 800 employees. The main products include Coated Carbide Inserts, Carbide Rod and supporting tool holders. Achteck is known for its outstanding R&D competence, production & testing equipment and its coated carbide insert production technology. Achteck produces inserts for Turning, Grooving, Milling and Drilling that are widely applied in automotive, energy, die & mold, general machinery, aerospace and other industries. Achteck Tool is technology oriented, owns a strong research team that keeps on innovating Having ""Benefits from Resources, Reliance on Technologies, Devotion to Humanity and Top with Trust"" as the operating philosophy and ""Safety, Harmony, Efficiency and Innovation"" as the target Achteck aims to become a well-known brand in the world and a first-class cemented carbide manufacturer in China.","No. 198, Jinfeng West Road, Economic Development Area, Ganzhou, Jiangxi.",BESA,,,ACK Innovation Limited,,Vietnam,,,https://eec.informamarkets-info.com/oga/profile/upload/2026/04/07/blob_2026-04-07_20260407143238A133.png,,,ACHTECK,,"MTA Vietnam 2026 exhibitor. Country: CHINA. Booth: BESA Hall A Stand AH2-1. Categories: Gear Cutting,Jigs & Fixtures,Blades. Ganzhou Achteck Tool Technology Co, Ltd. is a wholly owned subsidiary of Chongyi Zhangyuan Tungsten Co, Ltd. (Listed Company with stock code 002378). The registered capital of Achteck is 260 milion USD with 800 employees. The main products include Coated Carbide Inserts, Carbide Rod and supporting tool holders. Achteck is known for its outstanding R&D competence, production & testing equipment and its coated carbide insert production technology. Achteck produces inserts for Turning, Grooving, Milling and Drilling that are widely applied in automotive, energy, die & mold, general machinery, aerospace and other industries. Achteck Tool is technology oriented, owns a strong research team that keeps on innovating Having ""Benefits from Resources, Reliance on Technologies, Devotion to Humanity and Top with Trust"" as the operating philosophy and ""Safety, Harmony, Efficiency and Innovation"" as the target Achteck aims to become a well-known brand in the world and a first-class cemented carbide manufacturer in China. Address: No. 198, Jinfeng West Road, Economic Development Area, Ganzhou, Jiangxi.. Pavilion: BESA. Agents/company reps: ACK Innovation Limited. Agent countries: Vietnam.",china_or_chinese_company
Exhibitor,Adrec Corp.,JAPAN,,,,https://www.adrec-jp.com/en/,JETRO HALL A Hall A Stand AM4-8,https://exhibitors.informamarkets-info.com/event/MTV26/en-US/exhibitor/484617/adrec-corp,484617,"Control, Measuring & Monitoring /Inspection Equipment",123779,"Adrec Corp. is a Japanese manufacturer specializing in digital torque management solutions for manufacturing industries. Based in Niigata, Japan, we develop and supply wireless digital torque wrenches, torque data management systems, and manufacturing support software that improve tightening quality, traceability, poka-yoke, and operational efficiency. Our digital torque wrench systems enable accurate torque measurement, real-time data collection, and reliable inspection control for assembly and maintenance operations. By integrating hardware and software, our solutions support error prevention, quality assurance, work standardization, and production data management on manufacturing sites. We also provide software solutions for torque data analysis, inspection record management, work instruction support, and traceability control. Our systems can be connected with PCs, PLCs, and factory networks to support smart manufacturing and digital transformation initiatives. Adrec products are used in a wide range of industries, including automotive, construction machinery, railway, industrial equipment, precision machinery, and maintenance services. Leveraging Japanese manufacturing expertise and practical field experience, we deliver reliable, user-friendly, and high-quality solutions that help manufacturers improve productivity and quality control.","1-1-12 Sengari, Kamo-shi, Niigata Prefecture, 959-1327 Japan",JETRO HALL A,,,,,,IM ISOA,https://eec.informamarkets-info.com/oga/profile/upload/2026/05/09/Generalcatalog_2026-05-09_20260509142542A185.pdf,https://eec.informamarkets-info.com/oga/profile/upload/2026/05/09/blob_2026-05-09_20260509141939A181.png,,,Adrec Corp.,,"MTA Vietnam 2026 exhibitor. Country: JAPAN. Booth: JETRO HALL A Hall A Stand AM4-8. Categories: Control, Measuring & Monitoring /Inspection Equipment. Adrec Corp. is a Japanese manufacturer specializing in digital torque management solutions for manufacturing industries. Based in Niigata, Japan, we develop and supply wireless digital torque wrenches, torque data management systems, and manufacturing support software that improve tightening quality, traceability, poka-yoke, and operational efficiency. Our digital torque wrench systems enable accurate torque measurement, real-time data collection, and reliable inspection control for assembly and maintenance operations. By integrating hardware and software, our solutions support error prevention, quality assurance, work standardization, and production data management on manufacturing sites. We also provide software solutions for torque data analysis, inspection record management, work instruction support, and traceability control. Our systems can be connected with PCs, PLCs, and factory networks to support smart manufacturing and digital transformation initiatives. Adrec products are used in a wide range of industries, including automotive, construction machinery, railway, industrial equipment, precision machinery, and maintenance services. Leveraging Japanese manufacturing expertise and practical field experience, we deliver reliable, user-friendly, and high-quality solutions that help manufacturers improve productivity and quality control. Address: 1-1-12 Sengari, Kamo-shi, Niigata Prefecture, 959-1327 Japan. Pavilion: JETRO HALL A.",
Exhibitor,AE1-1,VIETNAM,,,,,A AE1-1,https://exhibitors.informamarkets-info.com/event/MTV26/en-US/exhibitor/476028/ae1-1,476028,"Gear Cutting,Jigs & Fixtures,Blades,Rollers,Material Handling & Storage","123783,123792,123800,123816,123821",CÔNG TY TNHH MTV KHẢI TƯ ĐẶC,"Số 420, đường ĐX78, khu phố 03, Phường Định Hòa, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam",,,công ty tnhh mtv khải tư đặc|công ty tnhh mtv khải tư đặc,,Vietnam|Vietnam,,IM Vietnam,https://eec.informamarkets-info.com/oga/profile/upload/2026/04/10/sanpham_2026-04-10_20260410170358A588.jpg,https://eec.informamarkets-info.com/oga/profile/upload/2026/04/10/blob_2026-04-10_20260410170330A587.jpeg,,https://www.facebook.com/share/1L5Map9thZ/?mibextid=wwXIfr,AE1-1,,"MTA Vietnam 2026 exhibitor. Country: VIETNAM. Booth: A AE1-1. Categories: Gear Cutting,Jigs & Fixtures,Blades,Rollers,Material Handling & Storage. CÔNG TY TNHH MTV KHẢI TƯ ĐẶC Address: Số 420, đường ĐX78, khu phố 03, Phường Định Hòa, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam.",
Exhibitor,"Agency Assist Vietnam Co., Ltd.",VIETNAM,,,,https://agency-assist.vn/,NA BA3-4,https://exhibitors.informamarkets-info.com/event/MTV26/en-US/exhibitor/476020/agency-assist-vietnam-co-ltd,476020,"Bending Machines,Heat Treatment,Laser Cutting & Laser Systems / Machines,EDMs & Wire-Cut Machines,Grinding Machines,Lathes,Metal Cutting Machines - Others,Milling Machines,Machining Centres","123776,123784,123793,123802,123810,123819,123829,123835,123839","We specialize in providing top-notch precision parts procurement and manufacturing services tailored to meet the diverse needs of industries such as semiconductors, industrial machinery, and medical equipment. We pride ourselves on delivering high-quality parts to our clients. With a network of over 1,110 partner companies in Asia and Japan, we ensure a seamless and efficient procurement process. Why Choose Us? ・Comprehensive services under one roof ・Single point of contact for all procurement needs ・Strong quality assurance system","K7, Khu B, Đường CN5, Khu xưởng Kizuna 3, KCN Tân Kim mở rộng, Xã Cần Giuộc, Tỉnh Tây Ninh, Việt Nam",,,,,,,IM Vietnam,,https://eec.informamarkets-info.com/oga/profile/upload/2026/04/06/blob_2026-04-06_20260406173850A611.png,,https://www.facebook.com/agencyassist.vn/,"Agency Assist Vietnam Co., Ltd.",,"MTA Vietnam 2026 exhibitor. Country: VIETNAM. Booth: NA BA3-4. Categories: Bending Machines,Heat Treatment,Laser Cutting & Laser Systems / Machines,EDMs & Wire-Cut Machines,Grinding Machines,Lathes,Metal Cutting Machines - Others,Milling Machines,Machining Centres. We specialize in providing top-notch precision parts procurement and manufacturing services tailored to meet the diverse needs of industries such as semiconductors, industrial machinery, and medical equipment. We pride ourselves on delivering high-quality parts to our clients. With a network of over 1,110 partner companies in Asia and Japan, we ensure a seamless and efficient procurement process. Why Choose Us? ・Comprehensive services under one roof ・Single point of contact for all procurement needs ・Strong quality assurance system Address: K7, Khu B, Đường CN5, Khu xưởng Kizuna 3, KCN Tân Kim mở rộng, Xã Cần Giuộc, Tỉnh Tây Ninh, Việt Nam.",
Exhibitor,"AIDA ENGINEERING Co.,Ltd.Okayama JAPAN",JAPAN,,,,https://www.aida-eng.co.jp/en/,JETRO HALL A Hall A Stand AM4-7,https://exhibitors.informamarkets-info.com/event/MTV26/en-US/exhibitor/484623/aida-engineering-co-ltd-okayama-japan,484623,"Blades,Metal Forming / Sheet Metal Cutting Machines - Others","123800,123805","【Aida Engineering Co., Ltd. - Company Overview】 ■ Corporate Message ""Love"" is what shapes products, people, and the future. ■ About Us Always a step ahead in manufacturing. Surrounded by nature, we are a manufacturing company that produces a diverse range of products with high technological capabilities and reliable quality. Furthermore, by manufacturing products that respond to changing times and customer needs, we aim to build a prosperous local community. ■ Business & Products Manufacturing that captures the essential needs of our customers stems from our philosophy of ""always a step ahead in manufacturing"" and our desire to contribute to the local community. * Forming Rolls * Cold Roll Forming Machines * Crushers and Crusher Blades * Coin-Operated Parking Systems * Vehicle Security Devices * i-Accel (Safety Devices) * Agricultural Business ■ Sustainability & CSR * Social Contribution Activities * Health Management Declaration * Welfare Facilities ■ Company Information * Company Name : Aida Engineering Co., Ltd. * Address : 678 Mihobara, Mimasaka-shi, Okayama 701-2603, Japan * Phone : +81-868-74-3637 (Business hours: Weekdays 9:00 - 17:00 JST)","678 Mihobara, Mimasaka-shi, Okayama Prefecture, 701-2603 Japan",JETRO HALL A,,,,,,IM ISOA,,https://eec.informamarkets-info.com/oga/profile/upload/2026/05/11/blob_2026-05-11_20260511122229A796.png,,,"AIDA ENGINEERING Co.,Ltd.Okayama JAPAN",,"MTA Vietnam 2026 exhibitor. Country: JAPAN. Booth: JETRO HALL A Hall A Stand AM4-7. Categories: Blades,Metal Forming / Sheet Metal Cutting Machines - Others. 【Aida Engineering Co., Ltd. - Company Overview】 ■ Corporate Message ""Love"" is what shapes products, people, and the future. ■ About Us Always a step ahead in manufacturing. Surrounded by nature, we are a manufacturing company that produces a diverse range of products with high technological capabilities and reliable quality. Furthermore, by manufacturing products that respond to changing times and customer needs, we aim to build a prosperous local community. ■ Business & Products Manufacturing that captures the essential needs of our customers stems from our philosophy of ""always a step ahead in manufacturing"" and our desire to contribute to the local community. * Forming Rolls * Cold Roll Forming Machines * Crushers and Crusher Blades * Coin-Operated Parking Systems * Vehicle Security Devices * i-Accel (Safety Devices) * Agricultural Business ■ Sustainability & CSR * Social Contribution Activities * Health Management Declaration * Welfare Facilities ■ Company Information * Company Name : Aida Engineering Co., Ltd. * Address : 678 Mihobara, Mimasaka-shi, Okayama 701-2603, Japan * Phone : +81-868-74-3637 (Business hours: Weekdays 9:00 - 17:00 JST) Address: 678 Mihobara, Mimasaka-shi, Okayama Prefecture, 701-2603 Japan. Pavilion: JETRO HALL A.",
Exhibitor,"AIZAKI VIETNAM CO.,LTD - CNC MACHINING",VIETNAM,,,,https://www.aizakivn.com,JETRO VN Hall B Stand JP10,https://exhibitors.informamarkets-info.com/event/MTV26/en-US/exhibitor/484656/aizaki-vietnam-co-ltd---cnc-machining,484656,"EDMs & Wire-Cut Machines,Grinding Machines,Lathes,Metal Cutting Machines - Others,Milling Machines,Machining Centres","123802,123810,123819,123829,123835,123839","High-Precision Metal Machining & Difficult-Material Specialists. Japanese-engineered quality systems, delivered from Vietnam – with two integrated production sites for optimized global supply.","Long Binh (Amata) Industrial Park, Long Binh ward, Dong Nai province, Vietnam",JETRO VN,,,,,,IM VIETNAM (JETRO),https://eec.informamarkets-info.com/oga/profile/upload/2026/05/13/UpdatedprofileEnglish_2026-05-13_20260513154447A074.pdf,https://eec.informamarkets-info.com/oga/profile/upload/2026/05/13/blob_2026-05-13_20260513154437A073.jpeg,,,"AIZAKI VIETNAM CO.,LTD - CNC MACHINING",,"MTA Vietnam 2026 exhibitor. Country: VIETNAM. Booth: JETRO VN Hall B Stand JP10. Categories: EDMs & Wire-Cut Machines,Grinding Machines,Lathes,Metal Cutting Machines - Others,Milling Machines,Machining Centres. High-Precision Metal Machining & Difficult-Material Specialists. Japanese-engineered quality systems, delivered from Vietnam – with two integrated production sites for optimized global supply. Address: Long Binh (Amata) Industrial Park, Long Binh ward, Dong Nai province, Vietnam. Pavilion: JETRO VN.",
Exhibitor,"ANH DUONG TECHNICAL ENGINEERING SOLUTION CO.,LTD",VIETNAM,,,,http://anhduongco.com/,A AD2-1,https://exhibitors.informamarkets-info.com/event/MTV26/en-US/exhibitor/476024/anh-duong-technical-engineering-solution-co-ltd,476024,"Heat Treatment,Industrial Robotics,Welding Equipment,Process Automation Systems, Equipment, Materials & Accessories,Blades,Grinding Machines,Manufacturing Automation, Machinery, Equipment, Materials & Accessories,Coiling & Wire Forming Machines,Testing, Calibration & Inspection","123784,123785,123787,123797,123800,123810,123820,123832,123842","Anh Duong is a distributor focused on high-quality industrial equipment from leading industrial countries such as Germany, France, the United States, the United Kingdom, Japan, Italy, Finland. Beyond distribution, we continuously invest in innovation and solution development to bring advanced technologies into real-world applications, tailored to Vietnam’s market and business culture. Anh Duong’s formula for success: WIN – WIN – WIN (Suppliers – Anh Duong – Customers).","C122 Khu Dân Cư Thới An, Đường Lê Thị Riêng, Phường Thới An, TP Hồ Chí Minh, Việt Nam.",,,,,,,IM Vietnam,,https://eec.informamarkets-info.com/oga/profile/upload/2026/04/28/blob_2026-04-28_20260428103820A347.png,,,"ANH DUONG TECHNICAL ENGINEERING SOLUTION CO.,LTD",,"MTA Vietnam 2026 exhibitor. Country: VIETNAM. Booth: A AD2-1. Categories: Heat Treatment,Industrial Robotics,Welding Equipment,Process Automation Systems, Equipment, Materials & Accessories,Blades,Grinding Machines,Manufacturing Automation, Machinery, Equipment, Materials & Accessories,Coiling & Wire Forming Machines,Testing, Calibration & Inspection. Anh Duong is a distributor focused on high-quality industrial equipment from leading industrial countries such as Germany, France, the United States, the United Kingdom, Japan, Italy, Finland. Beyond distribution, we continuously invest in innovation and solution development to bring advanced technologies into real-world applications, tailored to Vietnam’s market and business culture. Anh Duong’s formula for success: WIN – WIN – WIN (Suppliers – Anh Duong – Customers). Address: C122 Khu Dân Cư Thới An, Đường Lê Thị Riêng, Phường Thới An, TP Hồ Chí Minh, Việt Nam..",
Exhibitor,APP SYSTEMS SERVICES,SINGAPORE,,,,https://appsystems.com.sg/,A AG5-1,https://exhibitors.informamarkets-info.com/event/MTV26/en-US/exhibitor/484547/app-systems-services,484547,"Control, Measuring & Monitoring /Inspection Equipment,Coordinate Measuring Equipment,Dimensional Measuring Devices,Material Testing Equipment,Precision Gauges,Precision Measurement Software,Fatigue & Strength Testing Equipment,Testing, Calibration & Inspection","123779,123790,123801,123812,123824,123831,123833,123842","APP Systems Services offers a comprehensive portfolio of products and services that caters to the Backend Semiconductor (Assembly & Test), Optoelectronics, Wafer Level Packaging, MEMS and related markets. These include the distribution of equipment and consumables for applications like IC packaging (tape & reel), defect inspection, metrology, offline IC programming, reliability testing etc. Our omnibus of products can substantively enhance existential product quality and manufacturing standards through validated methodologies.","11 Toh Guan Road East #03-01, APP Enterprise Building",,,KLA|Foamtec International,,USA|USA,,IM IEM,https://eec.informamarkets-info.com/oga/profile/upload/2026/05/28/APP-Systems-Semiconductor-Backend-2023_2026-05-28_20260528144151A627.pdf,https://eec.informamarkets-info.com/oga/profile/upload/2026/05/28/blob_2026-05-28_20260528143945A622.png,https://www.linkedin.com/company/app-systems-services-pte-ltd/posts/?feedView=all,,APP SYSTEMS SERVICES,,"MTA Vietnam 2026 exhibitor. Country: SINGAPORE. Booth: A AG5-1. Categories: Control, Measuring & Monitoring /Inspection Equipment,Coordinate Measuring Equipment,Dimensional Measuring Devices,Material Testing Equipment,Precision Gauges,Precision Measurement Software,Fatigue & Strength Testing Equipment,Testing, Calibration & Inspection. APP Systems Services offers a comprehensive portfolio of products and services that caters to the Backend Semiconductor (Assembly & Test), Optoelectronics, Wafer Level Packaging, MEMS and related markets. These include the distribution of equipment and consumables for applications like IC packaging (tape & reel), defect inspection, metrology, offline IC programming, reliability testing etc. Our omnibus of products can substantively enhance existential product quality and manufacturing standards through validated methodologies. Address: 11 Toh Guan Road East #03-01, APP Enterprise Building.",
