hit_type,company_name,country,zip_code,city,federal_state,website,booth,profile_url,profile_title,profile_meta_description,profile_headings,website_home_url,website_home_title,website_home_meta_description,website_home_headings,website_about_url,website_about_title,website_about_meta_description,website_about_headings,score,priority_band,category,subcategory,matched_keywords,negative_keywords,country_priority_bucket,country_priority_boost,outreach_angle,website_fetch_error
Exhibitor,Dataguess Teknoloji San. ve Tic. A.S.,Türkiye,34852,Maltepe,,https://www.dataguess.com,"Hall 14, Stand L45",https://www.hannovermesse.de/exhibitor/dataguess-teknoloji/N1610786,HANNOVER MESSE Exhibitor 2026: Dataguess Teknoloji,"As Dataguess, we develop pioneering and innovative software solutions in the fields of Computer Vision, Machine Learning, and Deep Learning. As a team that aims to provide the highest quality and most effective services to our customers and business partners by pushing the boundaries of technology, we create customizable and scalable applications that can adapt to the needs of every sector.",,https://www.dataguess.com/,Dataguess FAST and EASY AI Solutions for Every Industry,"Dataguess offers AI solutions for manufacturing, quality control, predictive maintenance, data analytics, and edge AI, with no-code/low-code tools.","Quality Control With AI | Simple & Efficient Quality Control | Analytics, Prediction & Forecasting | Dataflow & Edge AI Platform | Edge AI Computers | Redefining Autonomous Quality Control, Data Analysis, and Production Efficiency with Industrial AI | AI Solutions Built for Industrial Performance | AI-Powered Visual Inspection & Quality Control",https://www.dataguess.com/about,About Dataguess - AI Solutions in Manufacturing,"Dataguess offers innovative solutions in computer vision, machine learning and deep learning in manufacturing.","Quality Control With AI | Simple & Efficient Quality Control | Analytics, Prediction & Forecasting | Dataflow & Edge AI Platform | Edge AI Computers | Our Areas of Expertise | Us in Numbers | Head Office",37,A,partner_target,ai_inspection_or_data_partner,"computer vision, industrial ai, inspection, machine learning, quality control, visual inspection",,priority_middle_east,7,"Explore partnership around synthetic data, computer vision, and industrial AI inspection workflows.",
Exhibitor,SANXO-SYSTEMS Finn-Magyar Méréstechnikai és Automatizálási Kf,Hungary,1221,Budapest,,https://www.sanxo.eu,"Hall 17, Stand F58",https://www.hannovermesse.de/exhibitor/sanxo-systems/N1611502,HANNOVER MESSE Exhibitor 2026: SANXO-Systems,"SANXO-Systems Ltd is a technology company that develops and delivers advanced hardware and software solutions in the fields of digital microscopy, machine vision, and robotic automation.  A core area of the company’s expertise is in digital industrial microscopes, especially the SANXO-Scope series, which are designed for high-quality magnified imaging, measurement, and inspection tasks. In addition to microscopy, SANXO provides machine vision systems that include industrial cameras, optics, lighting, and custom software to automate inspection and quality control processes in manufacturing. Its machine vision solutions are used to reduce labor costs, increase accuracy, and support automated guidance of robots on production lines.",,https://sanxo.eu/,"SANXO-Systems Ltd. | Digital microscopes, machine vision and robot application solutions","SANXO-Systems Ltd. is a growing technological company in Hungary. 10+ year experience in digital microscopes, MV and robotics. Find an innovative solution!",Digital microscope | Robotics | New concept of AOI system | Continuous innovation | Online support | Innovative Solutions | Digital microscope | Machine Vision systems,https://sanxo.eu/news-about-sanxo/,News: press releases & exhibitions | SANXO,"Read about our newest press releases and exhibitions. News about SANXO Group, microscopy, MV, AOI and robotics. Check it out!",News about Sanxo,37,A,partner_target,inspection_hardware_or_metrology,"automation, inspection, machine vision, measurement, quality control, robotic, robotics",,priority_europe,6,"Explore integration with manual or semi-automated inspection hardware, sensors, or metrology equipment.",
Exhibitor,Gestalt Automation GmbH,Germany,10997,Berlin,Berlin,http://www.gestalt-automation.com,"Hall 11, Stand B38",https://www.hannovermesse.de/exhibitor/gestalt-automation/N1612025,HANNOVER MESSE Exhibitor 2026: Gestalt Automation,"Founded in 2016 and headquartered in Berlin, GESTALT Automation GmbH is an industrial integrator for AI-powered Smart Inspection Systems. The company develops and industrializes inline and end-of-line inspection solutions for real-time industrial quality assurance.  A key technological focus lies in the combination of hyperspectral imaging and artificial intelligence. This enables the detection of chemical compositions, contaminations, and hidden defects that cannot be identified using conventional machine vision systems – “See the Unseen.”  GESTALT follows a hybrid AI approach combining rule-based methods, anomaly detection, and deep learning, while integrating multiple sensor technologies into a unified industrial inspection architecture.  Its solutions are deployed across industries including automotive, aerospace, pharmaceuticals, food, energy, and electronics.",,https://www.gestalt-automation.com/,Gestalt Automation,"Mit industrieller KI die Zukunft neu gestalten. Gestalt entwickelt KI-Automation fÃ¼r industrielle Inspektionen. Effiziente, prÃ¤zise und praxisnahe LÃ¶sungen fÃ¼r eine zukunftssichere Produktion.",Mit industrieller KI die Zukunft neu gestalten | Was wir fÃ¼r Ihr Unternehmen tun kÃ¶nnen | Inspektionsaufwand und Prozesskosten senken | MÃ¤ngel identifizieren und Ausschuss reduzieren | Taktzeit reduzieren | Maschinenstillstand vermeiden | Leistungsstark in SchlÃ¼sselbranchen | Perfekte Produkte mit automatisierter visueller Inline-Inspektion in Echtzeit,,,,,34,B,partner_target,ai_inspection_or_data_partner,"artificial intelligence, automation, inspection, machine vision, quality assurance, sensor",,priority_europe,6,"Explore partnership around synthetic data, computer vision, and industrial AI inspection workflows.",
Exhibitor,Termica Solutions Engenharia Ltda,Brazil,89219-600,Joinville SC,,https://digimet.solutions,"Hall 11, Stand D55",https://www.hannovermesse.de/exhibitor/digimet-solutions/N1609005,HANNOVER MESSE Exhibitor 2026: Digimet Solutions,"Digimet Solutions is a Brazilian Industry 4.0 technology company that develops a fully web-based platform for the digitalization and automation of industrial laboratory and quality control processes. By combining Artificial Intelligence, computer vision, and data analytics, Digimet transforms traditional manual inspections, such as weld bead measurement, macrographic and metallographic analysis, and Brinell hardness testing, into fast, standardized, and data-driven workflows.  Operating under a SaaS model, the platform enables automatic measurements, instant report generation, KPI tracking, full traceability, and secure remote access. Scalable and easy to deploy worldwide, Digimet helps manufacturers reduce inspection time and costs while increasing reliability, consistency, and decision-making efficiency.",,https://www.digimet.solutions/,Digital Solutions | Digimet,"DIGIMET is an online platform to automate and monitor metallurgical processes in order to digitize heat treatments, metallographic analysis and hardness tests, contextualizing the results and leveraging process efficiency.",NEW LAUNCH: WIC5,,,,,33,B,partner_target,ai_inspection_or_data_partner,"artificial intelligence, automation, computer vision, inspection, measurement, quality control, testing",,,0,"Explore partnership around synthetic data, computer vision, and industrial AI inspection workflows.",
Exhibitor,Nuevas Técnicas de Automatización Industrial S.L. (NUTAI),Spain,46460,Silla,,https://www.nutai.com,"Hall 15, Stand B14",https://www.hannovermesse.de/exhibitor/nutai/N1615150,HANNOVER MESSE Exhibitor 2026: NUTAI,"At NUTAI, we design and deliver cutting-edge technological solutions in industrial automation, leveraging advanced robotics, machine vision, artificial intelligence (AI), and machine tool technologies to transform production environments. With over 30 years of experience across diverse industrial sectors —including automotive, sustainable mobility, energy, and Industry 4.0— we lead turnkey projects that optimize processes.  Recognized as an Innovative SME by the Spanish Government since 2016 and actively collaborating with industry leaders across Europe, our multidisciplinary team combines deep technical expertise with a client-focused approach to develop tailor-made automation solutions and proprietary products. Our offerings range from intelligent robotics and real-time machine vision systems to AI-driven quality control and integrated digital manufacturing platforms.",,https://nutai.com/,NUTAI S.L. | Soluciones de Automatización Industrial,"En NUTAI desarrollamos soluciones en automatización industrial, robótica, visión artificial y energía para optimizar procesos productivos.",NUTAI | Áreas de trabajo | Automatización Industrial | Visión artificial | máquina herramienta y líneas de mecanizado | robótica colaborativa | Inteligencia artificial | Energía,https://nutai.com/en/company/,NUTAI,NUTAI was founded by Fernando Torrijos and Enrique Vacas at the CEEI Valencia Technology Park in Paterna,"NUTAI | Welcome to nutai | At NUTAI, our mission is to drive the industrial future with advanced, efficient, and environmentally friendly technological solutions. | 29th anniversary | Mission | Vision | OUR VALUES | 29",30,B,partner_target,ai_inspection_or_data_partner,"artificial intelligence, automation, machine vision, quality control, robotics, turnkey",,priority_europe,6,"Explore partnership around synthetic data, computer vision, and industrial AI inspection workflows.",
Exhibitor,ANTICIPATE GmbH,Germany,52070,Aachen,North Rhine-Westphalia,https://www.anticipate.ml,"Hall 11, Stand B49",https://www.hannovermesse.de/exhibitor/anticipate/N1611089,HANNOVER MESSE Exhibitor 2026: ANTICIPATE,"With ANTICIPATE, you get an AI-powered visual quality inspection system that reliably supports both manual and automated inspection processes.  One partner, one end-to-end solution:  ✔️ Custom camera and hardware setup ✔️ On-premise deployment – no data leaves your factory ✔️ Integration into your existing production line  Curious whether your quality control can be automated with AI-based image processing? Get in touch – we’re happy to support you.",,https://www.anticipate.ml/,ANTICIPATE GmbH | KI-basierte visuelle Qualitätskontrolle,Automatisieren und digitalisieren sie ihre Qualitätskontrolle für manuelle und maschinelle Fertigungsprozesse.,Anwendungsbereiche | Einsatz in manuellen Prozessen | Einsatz in maschinellen Prozessen | Was unsere Kunden sagen | Manuelle Sichtprüfung verursacht hohe Qualitätskosten | Klassische Prüfsysteme versagen bei Produktabweichungen | Kontakt | Unternehmen,https://www.anticipate.ml/ueber-uns,Über uns,,Über uns | Kontakt | Unternehmen | Product | Infos | Rechtliches,29,B,partner_target,ai_inspection_or_data_partner,"camera, image processing, inspection, production line, quality control",,priority_europe,6,"Explore partnership around synthetic data, computer vision, and industrial AI inspection workflows.",
Exhibitor,MVTec Software GmbH,Germany,80634,München,Bavaria,http://www.mvtec.com,"Hall 27, Stand A48",https://www.hannovermesse.de/exhibitor/mvtec-software/N1617001,HANNOVER MESSE Exhibitor 2026: MVTec Software,"MVTec Software GmbH is a leading international manufacturer of software for machine vision used in all demanding areas of imaging like the semi-conductor industry, inspection, optical quality control, metrology, medicine, or surveillance. In particular, software by MVTec enables new automation solutions in settings of the Industrial Internet of Things.  MVTec is the developer and vendor of the general purpose machine vision software products HALCON and MERLIC. Furthermore, MVTec builds customized software solutions for machine vision - from consultancy, studies, and prototypes up to integrated products.",,https://www.mvtec.com/,Machine Vision Solutions by MVTec | Industry-Leading Software and Services,"Discover MVTec's cutting-edge machine vision solutions. Our hardware-independent software, including HALCON and MERLIC, provides robust, scalable solutions for industries worldwide. Explore our services, technical support, and training to enhance your projects today.",Leading the future of machine vision | Our Customers & Partners | Success Stories Of Our Customers | Comprehensive products for machine vision solutions | Customized Solutions For Your Needs | Latest news about us and our products | Meet Us Around The World,https://www.mvtec.com/about-us,MVTec Software GmbH – Leading machine vision software & innovation | MVTec,"MVTec develops HALCON, MERLIC, and the Deep Learning Tool – powerful machine vision software for automation, IIoT, and deep learning. Founded in 1996, family-owned, and innovation-driven.",Leading software for machine vision | MVTec Machine Vision Software | Our Customers | Our Commitment,29,B,partner_target,inspection_hardware_or_metrology,"automation, inspection, machine vision, metrology, quality control",,priority_europe,6,"Explore integration with manual or semi-automated inspection hardware, sensors, or metrology equipment.",
Exhibitor,AMETEK GmbH Geschäftsbereich Creaform,Germany,70771,Leinfelden-Echterdingen,Baden-Wurttemberg,https://www.creaform3d.com,"Hall 17, Stand D32",https://www.hannovermesse.de/exhibitor/ametek-creaform/N1480856,HANNOVER MESSE Exhibitor 2026: AMETEK - Creaform,"With headquarters in Lévis, Québec, Canada and Lake Mary, Florida, USA, FARO CREAFORM is the result of the combination of FARO’s renowned 3D Measurement business segment and Creaform’s innovative metrology solutions. With roots dating back to 1981, FARO has been a global leader in portable measurement arms, laser trackers, and reality capture technologies. Creaform, founded in 2002 in Lévis, Québec, has revolutionized handheld 3D scanning and automated inspection, serving thousands of professionals in automotive, aerospace, manufacturing, and research. Together, FARO CREAFORM empowers quality, production, maintenance and design teams to work faster, smarter, and with total confidence, unlocking better outcomes and superior experiences across manufacturing workflows. FARO CREAFORM is a business unit of AMETEK, Inc., a leading global provider of industrial technology solutions serving a diverse set of attractive niche markets with annual sales of over $7.0 billion.",,https://www.creaform3d.com/,"3D Scanners, CMM Scanners & Metrology Measurement Solutions | Creaform","Creaform delivers high-accuracy 3D scanners, CMM laser systems, and metrology-grade solutions for 3D measurement, inspection, and product development.","Solutions | The Future of 3D Metrology Takes Form | Reshaping the landscape of 3D metrology by redefining the limits of innovation | 3D Scanning, CMM, and Metrology Solutions Trusted by Industry Leaders | High-Performance 3D Scanners and CMM Technologies | Creaform Metrology Suite TM | FARO 3D Metrology Offering | Experience the performance of portable 3D scanners",https://www.creaform3d.com/en/solutions/3d-scanning-enhance-clay-modeling-design-process,Hyundai North America & 3D scanning | Blog | Creaform,Hyundai North America chooses Creaform’s HandySCAN 3D portable 3D scanner for real-time development and work on their clay models. Learn more.,Solutions | 3D SCANNING TO ENHANCE CLAY MODELING IN THE DESIGN PROCESS OF AUTOMOTIVE MANUFACTURERS | RELATED PRODUCTS | NEED MORE INFORMATION ABOUT OUR SOLUTIONS?,28,B,partner_target,inspection_hardware_or_metrology,"inspection, measurement, metrology, scanner",,priority_europe,6,"Explore integration with manual or semi-automated inspection hardware, sensors, or metrology equipment.",
Exhibitor,Kurokesu UAB,Lithuania,03154,Vilnius,,https://www.kurokesu.com,"Hall 26, Stand B78",https://www.hannovermesse.de/exhibitor/kurokesu/N1612114,HANNOVER MESSE Exhibitor 2026: Kurokesu,"We design and build advanced imaging hardware and mechatronic components used in robotics, research, and industrial applications on land, in the air, under water, and even in space. What began as a small personal project driven by curiosity for precision engineering has evolved into a trusted company known for dependable, technically refined products.  Kurokesu product line consists of industrial cameras, motorized zoom systems, and motion controllers, complemented by carefully selected lenses from our partners. Every product is built with long-term availability and practical integration in mind, ensuring reliable performance in demanding environments. Open to collaboration, we work with engineers, researchers, and companies worldwide to turn ideas into functional imaging solutions - balancing precision, openness, and innovation in everything we create.",,https://www.kurokesu.com/home/,Kurokesu - Kurokesu,"Kurokesu develops scientific grade and industrial cameras for drones, robots, machine vision applications or regular consumer use. Measurement instruments, motion platforms and custom and OEM solutions.",USB cameras C2_X.. | Motorized zoom cameras C1_PRO_X.. | USB camera C1 PRO | Camera for embedded vision C1 MICRO | Motion controller module SCE2-M | Low profile SCREW-IN optical filters | Resources | Screw-in optical filters,https://www.kurokesu.com/shop/filters,Optical filters,Optical filters,Optical filters,26,B,partner_target,inspection_hardware_or_metrology,"camera, machine vision, measurement, robotics",,priority_europe,6,"Explore integration with manual or semi-automated inspection hardware, sensors, or metrology equipment.",
Exhibitor,Temposonics GmbH & Co. KG,Germany,58513,Lüdenscheid,North Rhine-Westphalia,https://www.temposonics.com,"Hall 26, Stand E98, (1)",https://www.hannovermesse.de/exhibitor/temposonics/N1606281,HANNOVER MESSE Exhibitor 2026: Temposonics,"Temposonics is a global leader in the field of magnetostrictive measurement technology. For 50 years, we have pioneered the industry, embodying innovation and maximum reliability. Specializing in high-precision linear position sensors and level transmitters, Temposonics offers the broadest range of magnetostrictive sensor solutions in terms of design, output, and performance. Our non-contact sensors provide accurate and dynamic position and velocity measurements for automation and safety-critical systems in industrial machinery, off-highway vehicles, and process industries.  We have manufacturing facilities in Lüdenscheid and Dortmund (Germany) and Cary (NC, USA) with direct sales offices and authorized distributors worldwide. Thanks to our many years of experience and focus on our core technology, based on the principle of magnetostriction, we are always one step ahead of industry trends. Our customers benefit from a combination of application knowledge, service and collaboration.",,https://www.temposonics.com/,Temposonics Linear Position Sensors & Liquid Level Transmitters,Temposonics develops and manufactures linear position sensors (linear position transducers) and liquid-level transmitters for standard and customized applications.,"ABSOLUTE, NON-CONTACT LINEAR POSITION SENSORS & LIQUID LEVEL Transmitters | News and Events | Temposonics at the CONEXPO-CON/AGG 2026 | Temposonics MH-Series XTERNAL MOUNT | Temposonics R-Series V RD5 – A long-distance relationship that works | About Temposonics | Contact | Temposonics, LLC",https://www.temposonics.com/about/Company,Company Profile,Temposonics is a global supplier of mechanical testing systems and position sensors for a wide variety of markets and applications.,"Company | Temposonics | Any Questions? | Contact | Temposonics, LLC | Temposonics GmbH & Co. KG | Subscribe",26,B,partner_target,inspection_hardware_or_metrology,"automation, measurement, sensor, testing",,priority_europe,6,"Explore integration with manual or semi-automated inspection hardware, sensors, or metrology equipment.",
