hit_type,company_name,country,zip_code,city,federal_state,website,booth,profile_url,email,phone,category,profile_title,profile_meta_description,profile_headings,website_home_url,website_home_title,website_home_meta_description,website_home_headings,website_about_url,website_about_title,website_about_meta_description,website_about_headings,score,priority_band,subcategory,matched_keywords,negative_keywords,country_priority_bucket,country_priority_boost,outreach_angle,website_fetch_error
Exhibitor,XONOX Technology GmbH,Germany,35625,Hüttenberg,,https://www.xonox-tec.com,Hall 3.0 - Stand 328,https://www.optatec-messe.de/en/Exhibitor-Index/80842-xonox-technology-gmbh,info@xonox-tec.com,+49 6441 96364 -0,manufacturer_target,Exhibitor details of:  XONOX Technology GmbH,"Optatec Internationale Fachmesse für optische Technologien, Komponenten und Systeme","Optical measuring and test technology | Dimensional measuring technology | Interferometric measuring technology | Laser measuring systems | Surface measuring technology | Fields of application for optical technologies | Production technology | Interferometry | Lenses | Optomechanical components and assemblies | Rail and bench systems | Optical tables | Machining | Centring/rounding | Polishing | Lubricating coolants for glass processing | You are currently viewing a placeholder content from | YouTube | . To access the actual content, click the button below. Please note that doing so will share data with third-party providers. | More Information | Unblock content | Accept required service and unblock content | Additional information | Catalogue",https://www.xonox-tec.com/,"Home XONOX GmbH Interferometers, Transmission Spheres, Metrology","XONOX Technology Fizeau Interferometer, Fizeau Transmission Sphere, Fringe Analysis Software, Measurement System and Edge Painting System for Precision Optics",Interferometer Systems | Measurement Systems | Lens Treatment Systems | Software | CONTACT | Social NETWORK | INFORMATION,,,,,92,A,optical_components,"centring, interferometer, interferometric, laser, laser measuring, lens, lenses, machining, manufacturing, measurement, measuring, metrology, optical components, optics, optomechanical, polishing, processing, production, surface measuring",,priority_europe,6,"Discuss component-level visual inspection for lenses, prisms, mirrors, windows, micro-optics, and precision optical assemblies.",
Exhibitor,"Boxin Photoelectric Co., Ltd.",Canada,L4B3G2,Richmond Hill,,https://www.bxoptic.com,Hall 3.0 - Stand 310,https://www.optatec-messe.de/en/Exhibitor-Index/81920-boxin-photoelectric-co---ltd,cherry.lee@bxoptic.com,+1 905 604 2805/ 416 904 8699,manufacturer_target,"Exhibitor details of:  Boxin Photoelectric Co., Ltd.","Optatec Internationale Fachmesse für optische Technologien, Komponenten und Systeme","Optical components and materials | Optical components | Prisms, wedges | Round optics, spherical and aspheric lenses | Cylindrical lenses | Boxin Photoelectric Co., Ltd. | 20. March 2026 | Measurement interferogram of large dimension glass-ceramics component diameter: 630 plano RMS:1/100λ | 700mm Ion Beam Polishing Machine | Used for ultra-precision machining of optical components as well as ion beam polishing. It supports a variety of optical materials with different characteristics, including fused silica, glass-ceramics, monocrystalline silicon, and sapphire. The machine is | ...more | My day at the fair | Request an exhibitor appointment | More information | Ms. | Mr. | First name* | Surname* | Desired date | E-Mail* | Message | Phone number | Your appointment request will be sent to the manufacturer with your name and e-mail address. You will receive your appointment confirmation by e-mail from Boxin Photoelectric Co., Ltd.. | Information on data processing can be found in our",https://www.bxoptic.com/,BOXIN,,Business Introduction | Optical Lenses | Optical Coatings | Telephoto Cameras | Optical System Solutions | Inspection Capabilities | Machine Vision | About us,https://www.bxoptic.com/companyProfile.html,Company Profile - BOXIN,,"BOXIN Overview | About Us | Business Areas | Development History | BOXIN Officially Established | Establishment of North American Branch, Expanding into International Markets | Relocation to New Factory, Acquisition of Qioptiq | Introduction of International Advanced Production Lines, Expansion and Capacity Increase",81,A,optical_coatings_or_filters,"aspheric, coatings, inspection, lenses, machine vision, machining, measurement, optical components, optical materials, optics, polishing, prisms, processing, production, sapphire, spherical",,,0,"Discuss defect detection and surface inspection for optical coatings, filters, mirrors, and coated components.",
Exhibitor,DIOPTIC GmbH,Germany,69469,Weinheim,,https://www.dioptic.de,Hall 3.0 - Stand 503,https://www.optatec-messe.de/en/Exhibitor-Index/99332-dioptic-gmbh,info@dioptic.de,+49 6201 96090-00,manufacturer_target,Exhibitor details of:  DIOPTIC GmbH,"Optatec Internationale Fachmesse für optische Technologien, Komponenten und Systeme","Optical components and materials | Diffractive elements, optical lattices | Optical systems | Infrared technology | IR optics | Optical measuring and test technology | Image recording and image processing | Interferometric measuring technology | Surface measuring technology | Fields of application for optical technologies | Lenses | Optomechanical components and assemblies | Positioning and assembly systems | Fibre-optic devices/systems | Fibre-optic R&D (devices and systems) | Additional information | ARGOS nexus Product Sheet | CGH Flyer | Optical Design Flyer | Inspection Systems Flyer | DIOPTIC GmbH | 03. March 2026 | ARGOS nexus - Automated Scratch / Dig Inspection | ARGOS nexus is an automated scratch/dig inspection solution featuring a high-resolution imaging system with combined dark field and bright field illumination. There are different resolution options and large inspection areas which can be used for either individual large parts or batches of",https://www.dioptic.de/,DIOPTIC GmbH - Creating optical solutions,Optikentwicklung und Technologieberatung bis an die Grenzen des physikalisch Machbaren. DIOPTIC forscht und entwickelt an optischen Technologien.,Creating Optical Solutions | Creating: Wir realisieren optische Systeme für Ihre Vision. Optical: Wir sind die Expert:innen für optische Messtechnik. Solutions: Für Ihre Lösung loten wir die Grenzen des physikalisch Machbaren aus. | Produkte | Leistungen | Branchen | Aktuelles | ARGOS nexus für automatisierte Oberflächenprüfung | DIOPTIC stellt ARGOS nexus vor – universelle Plattform für die automatisierte Scratch/Dig-Inspektion,https://www.dioptic.de/ueber-dioptic/,Über DIOPTIC - DIOPTIC GmbH,Die Expertise der DIOPTIC reicht von der Optik und Optomechanik über Sensorik und Lasertechnologie bis zur erfolgreichen Systemintegration.,"Über DIOPTIC | „Erfolg beginnt mit Einstellung. Und die richtige Einstellung heißt bei uns, dass wir uns mit Sorgfalt und Umsicht, Engagement und Herzblut einer Aufgabe widmen. Das sind ideale Voraussetzungen, um einzigartige Lösungen zu erarbeiten.“ | Firmenprofil | Optikentwicklung und Technologieberatung | Kundennutzen | Innovationspotenziale ausschöpfen | Von ganzheitlicher Unterstützung profitieren | Auf höchste Qualität verlassen",72,A,optical_materials_or_glass,"diffractive, image processing, inspection, interferometric, ir optics, lenses, measuring, optical components, optics, optomechanical, positioning, processing, surface measuring",,priority_europe,6,"Discuss inspection workflows for optical glass, crystals, blanks, sapphire, quartz, or precision optical materials.",
Exhibitor,Innolite GmbH,Germany,52070,Aachen,,https://www.innolite.de,Hall 3.0 - Stand 620,https://www.optatec-messe.de/en/Exhibitor-Index/44482-innolite-gmbh,info@innolite.de,+49 241 475708-0,manufacturer_target,Exhibitor details of:  Innolite GmbH,"Optatec Internationale Fachmesse für optische Technologien, Komponenten und Systeme","Optical components and materials | Optical components | Planar optics, planar and plane-parallel windows, planar plates | Prisms, wedges | Mirrors, beam splitters | Round optics, spherical and aspheric lenses | Cylindrical lenses | Quartz optics | Plastic optics | Freeform components | Micro-optics | Diffractive elements, optical lattices | Special optics | Optical systems | Infrared technology | IR optics | Fields of application for optical technologies | Production technology | Telescopes | Lenses | Photovoltaic components and assemblies | Mirrors | Lenses | Micro-structuring",https://www.innolite.de/,Innolite - Home,,This is Innolite: | Tailored Molds & Optics | This is Innolite: | Ultra Precision Machine Tools | This is Innolite: | Alignment Turning | This is Innolite: | Ultra Sonic Machining,https://www.innolite.de/company.html,Innolite - Company,,Experience | All along the process chain | Our team | Dr. Christian Wenzel | Rainer Klar | Lucas Pesch | Jobs description | Ausbildungsbetrieb,71,A,optical_materials_or_glass,"aspheric, diffractive, freeform, ir optics, laser, lenses, machining, manufacturing, micro-optics, optical components, optics, prisms, production, quartz, spherical, ultra precision",,priority_europe,6,"Discuss inspection workflows for optical glass, crystals, blanks, sapphire, quartz, or precision optical materials.",
Exhibitor,OPTAplus BG JSC,Bulgaria,1632,Sofia,,https://www.optaplus.com,Hall 3.0 - Stand 208,https://www.optatec-messe.de/en/Exhibitor-Index/58336-optaplus-bg-jsc,office@optaplus.com,+359 2 872 3207,manufacturer_target,Exhibitor details of:  OPTAplus BG JSC,"Optatec Internationale Fachmesse für optische Technologien, Komponenten und Systeme","Optical components and materials | Optical components | Planar optics, planar and plane-parallel windows, planar plates | Prisms, wedges | Mirrors, beam splitters | Optical filters, coloured glass filters | Round optics, spherical and aspheric lenses | Optomechanical components and assemblies | Optomechanical components | You are currently viewing a placeholder content from | YouTube | . To access the actual content, click the button below. Please note that doing so will share data with third-party providers. | More Information | Unblock content | Accept required service and unblock content | OPTAplus BG JSC | Hermann Maier Str 46, OPTAplus | 1632 Sofia | Bulgaria | +359 2 872 3207 | office@optaplus.com | https://www.optaplus.com | Sales contact | Ms. Dilyana Stefanova",https://optaplus.com/,Home - Optaplus,Your ideas into focus. We create the components for your opto-mechanical systems,Our Certification and Policy | Latest news | Applications | Measurement & Control Technology | Engineering | Machine Vision & Image Processing | Medical & Laser Technology | Sensors for Industrial Automation,https://optaplus.com/about-us/,Meet Our Team - Learn More About Optaplus,Your ideas into focus. We create the components for your opto-mechanical systems,About Us | Your Ideas Into Focus | Our Team,70,A,optical_components,"aspheric, automation, image processing, laser, lenses, machine vision, measurement, optical components, optics, optomechanical, prisms, processing, spherical",,priority_europe,6,"Discuss component-level visual inspection for lenses, prisms, mirrors, windows, micro-optics, and precision optical assemblies.",
Exhibitor,TRIOPTICS,Germany,22880,Wedel,,https://www.trioptics.com,Hall 3.0 - Stand 408,https://www.optatec-messe.de/en/Exhibitor-Index/48028-trioptics,sales@trioptics.com,+49 4103 18006-0,manufacturer_target,Exhibitor details of:  TRIOPTICS,"Optatec Internationale Fachmesse für optische Technologien, Komponenten und Systeme",Optical measuring and test technology | Interferometric measuring technology | Measurement of optical quantities | Surface measuring technology | Goniometers | Additional information | Image Brochure | OptiCentric® 101 | ATS | ImageMaster® Afocal | ImageMaster® Cine | ImageMaster® HR UP | OptiSurf® LTM | PrismMaster® Flex | Spherometer | TriAngle | µPhase® | TRIOPTICS | Strandbaddamm 6 | 22880 Wedel | Germany | +49 4103 18006-0 | +49 4103 18006-20 | sales@trioptics.com,https://www.trioptics.com/,Home | TRIOPTICS,"We offer optical measurement and manufacturing systems for quality control and assembly of lenses, lens systems, camera modules.","Simplify and visualize | Ensuring correlation through uniform inspection | Camera & Lidar innovations made easy and fast | Contract manufacturing | Team up with TRIOPTICS | Measurement solutions for VR and AR | Worldwide standard for optical metrology | In the field of optical measurement, we create standards instead of just fulfilling them.",https://www.trioptics.com/trioptics/about-us,About us | TRIOPTICS,TRIOPTICS develops and produces the most comprehensive range of optical measurement and production technology for optical systems worldwide.,About us | Optics is our passion | 30 years of expertise in optical metrology | What drives us | Pioneering Spirit | Know-How | Customer Orientation | Diversity,70,A,optical_components,"camera, inspection, interferometric, lens, lenses, manufacturing, measurement, measuring, metrology, optical components, optics, production, surface measuring",,priority_europe,6,"Discuss component-level visual inspection for lenses, prisms, mirrors, windows, micro-optics, and precision optical assemblies.",
Exhibitor,OptoTech Optikmaschinen GmbH,Germany,35435,Wettenberg,,https://www.optotech.net,Hall 3.0 - Stand 324,https://www.optatec-messe.de/en/Exhibitor-Index/47188-optotech-optikmaschinen-gmbh,info.de@optotech.net,+49 641 49939-0,manufacturer_target,Exhibitor details of:  OptoTech Optikmaschinen GmbH,"Optatec Internationale Fachmesse für optische Technologien, Komponenten und Systeme","Optical measuring and test technology | Interferometric measuring technology | Thin-film technology | Vacuum/high-vacuum technology | Machining | Ultraprecision machining | Centring/rounding | Polishing | Grinding/lapping | You are currently viewing a placeholder content from | YouTube | . To access the actual content, click the button below. Please note that doing so will share data with third-party providers. | More Information | Unblock content | Accept required service and unblock content | Additional information | Image Brochure OptoTech | 05. May 2026 from 11:00 to 11:40 Clock | Well ground is half polished - Improvements along the process chain for high-end optics | OptoTech Optikmaschinen GmbH | Dipl. Ing.Sebastian Stoebenau | hall 3.0 booth 625 | FORUM | Calendar appointment",https://www.optotech.net/,Home | OptoTech,,Welcome to OptoTech | Vision. Precision. Passion. | Lens Production on a New Level | Mark Hollmann as New SBA Manager Ophthalmic | Precision Without the Wait | NEW: IQ-Synergy Taper | Expansion of Coating-Portfolio | Progress in Sustainability and Energy Efficiency,https://www.optotech.net/en/company/about-us,About Us | OptoTech,,Welcome to OptoTech | Your technological partner for optical machinery and process technology | Welcome to OptoTech | OptoTech at a Glance | OptoTech worldwide | OptoTech Optikmaschinen GmbH,65,A,optical_coatings_or_filters,"centring, coating, grinding, interferometric, lapping, lens, machining, manufacturing, measuring, optical components, optics, polishing, production, thin-film technology, ultraprecision, vacuum technology",,priority_europe,6,"Discuss defect detection and surface inspection for optical coatings, filters, mirrors, and coated components.",
Exhibitor,Mahr GmbH,Germany,37073,Göttingen,,https://www.mahr.com,Hall 3.0 - Stand 507,https://www.optatec-messe.de/en/Exhibitor-Index/83758-mahr-gmbh,info@mahr.com,+49 551 7073 0,manufacturer_target,Exhibitor details of:  Mahr GmbH,"Optatec Internationale Fachmesse für optische Technologien, Komponenten und Systeme","Optical measuring and test technology | Interferometric measuring technology | Measurement of optical quantities | Surface measuring technology | Fields of application for optical technologies | Image processing and measuring technology | 06. May 2026 from 11:00 to 11:40 Clock | Aspheric Surface Error Detection Using Tactile Profilometry | Mahr GmbH | Martin Beinemann | hall 3.0 booth 625 | FORUM | • The talk describes how aspheric optical surfaces can be efficiently characterized using tactile profilometry – from simple linear scans through spatial analysis to complete 3D evaluation. By precisely capturing surface form deviations, manufacturing defects become visible at an early | ...more | Calendar appointment | My day at the fair | More information | Mahr GmbH | Carl-Mahr-Str. 1 | 37073 Göttingen | Germany | +49 551 7073 0 | +49 551 7073 888 | info@mahr.com",https://www.mahr.com/en-int/,Mahr Group,,Welcome to the Mahr Group | Metrology | Metering Systems | Rotary Stroke Bearings | Welcome to Mahr | Our Corporate Divisions | News from Mahr | Who we are & what makes us special,https://www.mahr.com/en-int/company,Company,"We have been leading the way in the development and manufacture of measuring technology, ball-bearing guides and dosing technology for almost 160 years.",For more than 160 years - our Mahr mission | Our objective: never settle for mediocrity | Our craft | Fifth generation family business | We're up for the task | Progress through motion | What drives us | Why we do what we do,60,A,optical_components,"aspheric, image processing, interferometric, manufacturing, measurement, measuring, metrology, optical components, processing, surface measuring",,priority_europe,6,"Discuss component-level visual inspection for lenses, prisms, mirrors, windows, micro-optics, and precision optical assemblies.",
Exhibitor,Polytec GmbH,Germany,76337,Waldbronn,,https://www.polytec.com,Hall 3.0 - Stand 503,https://www.optatec-messe.de/en/Exhibitor-Index/99334-polytec-gmbh,info@polytec.de,+49 7243 604 0,manufacturer_target,Exhibitor details of:  Polytec GmbH,"Optatec Internationale Fachmesse für optische Technologien, Komponenten und Systeme","Optical sensors | Sensors, geometric | Optical measuring and test technology | Dimensional measuring technology | Surface measuring technology | Fields of application for optical technologies | Image processing and measuring technology | Microscopes | Interferometry | Service, institutions, publishers | Oscillation measurement and analysis | You are currently viewing a placeholder content from | YouTube | . To access the actual content, click the button below. Please note that doing so will share data with third-party providers. | More Information | Unblock content | Accept required service and unblock content | Polytec GmbH | 14. April 2026 | Measure form on large area, and sub-nm texture | Functionality and quality of industrially manufactured components relies on well-controlled and well-monitored machining processes. Quality control, close to line or inline quality inspection often uses surface metrology for evaluating form, roughness and other surface parameters. | Now, | ...more | My day at the fair",https://www.polytec.com/,Measure what matters - Polytec,,Turn measurement data into confident decisions | Our measurement technologies | Vibrometry | Velocimetry | Surface Metrology | Photonics | Process Analytics | No budget? Just measure.,https://www.polytec.com/en/company,Company - Polytec,,Polytec—measure what matters | Today Polytec specializes in the technological fields of | Your distribution partner for Europe | Innovative from the very outset | Awards,59,A,optical_components,"image processing, inspection, machining, manufacturing, measurement, measuring, metrology, optical components, processing, surface measuring",,priority_europe,6,"Discuss component-level visual inspection for lenses, prisms, mirrors, windows, micro-optics, and precision optical assemblies.",
Exhibitor,Nikon Metrology Europe NV,Belgium,3001,Leuven,,https://industry.nikon.com/de-de/,Hall 3.0 - Stand 513,https://www.optatec-messe.de/en/Exhibitor-Index/99292-nikon-metrology-europe-nv,Sales.Germany.NM@nikon.com,+49 211 4544 6951,manufacturer_target,Exhibitor details of:  Nikon Metrology Europe NV,"Optatec Internationale Fachmesse für optische Technologien, Komponenten und Systeme",Software for optics and optoelectronics | Software for microscopic image processing | Fields of application for optical technologies | Microscopes | Nikon Metrology Europe NV | Interleuvenlaan 86 | 3001 Leuven | Belgium | +49 211 4544 6951 | Sales.Germany.NM@nikon.com | https://industry.nikon.com/de-de/ | Visit Nikon Metrology Europe NV on the Optatec 2026 | Calendar appointment,https://industry.nikon.com/de-de/,Nikon Industrial Metrology - Home,"Nikon Metrology offers solutions for all industrial measurement, inspection and quality assurance needs in manufacturing and production environments.",Select Your Region and Language | Innovative Messlösungen für Ihren Fertigungsbereich. | Produkte | Röntgen-CT | Laser Radar | Video-Messsysteme | Manuelles Messen | Industriemikroskopie,https://industry.nikon.com/de-de/uber-uns/,Über uns - Nikon Industrial Metrology,,Select Your Region and Language | Über uns | Nikon’s Industrial Solutions Business Unit (IDSBU) stellt sich vor | Digitalisierung und Automatisierung | Drei Säulen der der Exzellenz | Zukunftsfähigkeit | Nachhaltigkeit | Arbeiten im Geschäftsbereich Industrielle Messtechnik (IDSBU),57,A,optical_components,"image processing, inspection, laser, manufacturing, measurement, metrology, optical components, optics, processing, production",,priority_europe,6,"Discuss component-level visual inspection for lenses, prisms, mirrors, windows, micro-optics, and precision optical assemblies.",
